#Expt.,SLN
-4.43,BrCH2CH2CH2CH2CH2CH2CH3
-3.81,BrCH2CH2CH2CH2CH2CH3
-3.07,BrCH2CH2CH2CH2CH3
-2.37,BrCH2CH2CH2CH3
-1.85,BrCH2CH2CH2Cl
-1.73,BrCH2CH2CH3
-2.89,BrCH2CH2CH(CH3)CH3
-1.32,BrCH2CH2Cl
-1.09,BrCH2CH3
-1.5,BrCH2CH=CH2
-2.43,BrCH2CH(CH3)CH3
-0.89,BrCH2Cl
-0.79,BrCH3
-1.91,BrCH(Br)Br
-1.9,BrCH(Br)Cl
-2.38,BrCH(CH2Br)CH2Cl
-2.15,BrCH(CH2Br)CH3
-1.59,BrCH(CH3)CH3
-1.71,BrCH(Cl)C(F)(F)F
-1.54,BrCH(Cl)Cl
-1.32,BrCH=[S=I]CHBr
-1.32,BrCH=[S=N]CHBr
-9.33,C[1]C[2]C[3]C[4]C[5]=C@1C[7]=CHCH=C@5CH=CHC=@4CH=CHC=@3CH=CHC=@2CH=CHC=@1CH=CH@7
-9.03,C[1]C[2]C[3]C[4]C[5]=C@1C(CH=CHC=@1CH=CHC=@2CH=CHC=@3CH=CHCH=@4)=CHCH=CH@5
-7.8,C[1]C[2]C[3]C[4]=C(C@1=CHCH=CHC=@1CH=CHC=@2CH=CHCH=@3)CH=CHCH=CH@4
-8.19,C[1]=C[2]C[3]=CHCH=C@1C[9]=C(CH=C@1CH=CHC@2=CHCH=CH@3)CH=CHCH=CH@9
-6.19,C[1]=C[2]C[3]=CHCH=C@1CH=CHCH=C@1CH=CHC@2=CHCH=CH@3
-7.87,C[1]C[2]=C(C[4]=C(CH=CH@2)CH=CHCH=CH@4)CH=CHC@1=C[23]C(=CHCH=@1)CH=CHCH=CH@23
-8.23,C[1]C[2]=C(CH=C[6]C@1=C(CH=CHCH=@1)C[15]=C@6CH=CHCH=CH@15)CH=CHCH=CH@2
-8.66,C[1]C[2]=C(CH=CHC@1=CHC[11]C[12]=C(CH=CHC=@11CH=@1)CH=CHCH=CH@12)CH=CHCH=CH@2
-5.26,C[1]C[2]=C(CH=CHC@1=CHCH=CHCH=@1)CH=CHCH=CH@2
-8,C[1]C[2]=CHCH=CHC=@1C[10]C[11]=C(CH=CHC=@10C@1=CHCH=CH@2)CH=CHCH=CH@11
-8.8,C[1]C[2]=CHCH=CHC=@1C[10]=C[11]C(CH=CHCH=C@11C@1=CHCH=CH@2)=CHCH=CH@10
-8.49,C[1]C[2]=CHCH=CHC=@1C[10]=C(CH=C[14]C(=CH@10)CH=CHCH=CH@14)C@1=CHCH=CH@2
-6,C[1]C[2]=CHCH=CHC=@1C[10]=C(CH=CHCH=CH@10)C@1=CHCH=CH@2
-6.74,C[1]C(C[3]=C(C[5]=C@1CH=CHCH=CH@5)CH=CHCH=CH@3)=CHCH=CHCH=@1
-8.06,C[1]C(=C[3]C(=CHCH=@1)CH=CHCH=CH@3)CH=CHC[21]=C@1CH=CHCH=CH@21
-8.6,C[1]C(=CHC[5]=C(CH=@1)CH=CHCH=CH@5)CH=C[19]C(=CH@1)CH=CHCH=CH@19
-6.35,C[1]C(=CHC[5]=C(CH=@1)CH=CHCH=CH@5)CH=CHCH=CH@1
-3.6,C[1]C(=CHCH=CHCH=@1)CH=CHCH=CH@1
-4.48,C[1](CH2CH(CH2CH2@1)CH3)(CH3)CH3
-7.11,C[1](=CHCH=C(CH=CH@1)C[11]=CHCH=CHCH=CH@11)C[22]=CHCH=CHCH=CH@22
-4.31,C[1](=CHCH=CHCH=CH@1)C[12]=CHCH=CHCH=CH@12
-2.82,C[1](=CHCH=CHCH=CH@1)CH=CH2
-6.68,C[1]H2C[4]C[5]=C(CH=CHC=@4C[12]=C@1CH=CHCH=CH@12)CH=CHCH=CH@5
-8.04,C[1]H2C[4]=C(CH=C[8]C(=CH@4)CH=CHCH=CH@8)C[20]=C@1CH=CHCH=CH@20
-5.22,C[1]H2C[4]=C(CH=CHCH=C@4CH3)C[17]=C@1CH=CHCH=CH@17
-4.91,C[1]H2C[4]=C(CH=CHCH=CH@4)C[14]=C@1CH=CHCH=CH@14
-5.96,C[1]H2CH2C[7]=C[8]C[9]C(=CHCH=C@8CH2@1)CH2CH2CH2C=@9CH=CH@7
-7.92,C[1]H2CH2C[7]C[8]=C(CH=C[12]C[13]=C(CH=C(CH=CH@13)CH3)CH=CHC@12=C@1@8)CH=CHCH=@7
-7.92,C[1]H2CH2C[7]C[8]=C(CH=C[12]C[13]=C(CH=CHC@12=C@1@8)CH=CHCH=CH@13)CH=CHC=@7CH3
-7.85,C[1]H2CH2C[7]C[8]=C(CH=C[12]C[13]=C(CH=CHC@12=C@1@8)CH=CHCH=CH@13)CH=CHCH=@7
-4.63,C[1]H2CH2C[7]C[8]=C(CH=CHCH=C@1@8)CH=CHCH=@7
-3.04,C[1]H2CH2C[7]=C(CH=CHCH=CH@7)CH2@1
-4.37,C[1]H2CH2CH2C[10]=C(CH=CHCH=CH@10)CH2@1
-2.64,C[1]H2CH2CH2CH2CH2@1
-3.1,C[1]H2CH2CH2CH2CH2CH2@1
-3.52,C[1]H2CH2CH2CH2CH2CH2CH2@1
-4.15,C[1]H2CH2CH2CH2CH2CH2CH2CH2@1
-3.27,C[1]H2CH2CH2CH=C(CH2@1)CH3
-2.59,C[1]H2CH2CH2CH=CHCH2@1
-3.18,C[1]H2CH2CH2CH=CHCH2CH2@1
-2.1,C[1]H2CH2CH=CHCH2@1
-1.97,C[1]H2CH=CHCH2CH=CH@1
-2.15,C[1]H2CH=CHCH=CHCH=CH@1
-2.15,C[1]H2CH=CHCH=CHCH=CH@1
-6.08,C[1]H(CH2CH2CH2CH2@1)CH2CH2CH2CH2CH3
-4.74,C[1]H(CH2CH2CH2CH2@1)CH2CH2CH3
-3.3,C[1]H(CH2CH2CH2CH2@1)CH3
-4.25,C[1]H(CH2CH2CH2CH2CH2@1)CH2CH3
-3.85,C[1]H(CH2CH2CH2CH2CH2@1)CH3
-4.47,C[1]H(CH2CH2CH(CH2CH2@1)CH3)CH3
-4,C[1]H(CH2CH2C(=CHCH2@1)CH3)C(=CH2)CH3
-5.19,C[1]HCH(CH2CH2CH2CH2@1)CH2CH2CH2CH2@1
-4.27,C[1]H(CH(CH2CH2CH2CH2@1)CH3)CH3
-1.64,C[1]H=CHCH=CHCH=CH@1
-3.96,C[1]H=CHC[5]C[6]=C(CH=CHCH=C@1@6)CH=CHCH=@5
-4.15,C(CH2C[5]=CHCH=CHCH=CH@5)(CH3)(CH3)CH3
-4.36,C(CH2CH2CH3)(CH3)(CH3)CH3
-5.05,C(CH2CH2CH(CH3)CH3)(CH3)(CH3)CH3
-4.23,C(CH2CH3)(CH2CH3)(CH3)CH3
-4.15,C(CH2CH3)(CH3)(CH3)C[17]=CHCH=CHCH=CH@17
-3.55,C(CH2CH3)(CH3)(CH3)CH3
-4.74,C(CH2CH(CH3)CH3)(CH3)(CH3)CH3
-3.66,C(CH3)(CH3)(CH3)C[14]=CHCH=CHCH=CH@14
-4.36,C(CH(CH3)CH3)(CH3)(CH3)CH3
-4.17,CH2(C[4]=CHCH=CHCH=CH@4)C[15]=CHCH=CHCH=CH@15
-0.4,CH2=CH2
-4.62,CH2(CH2C[7]=CHCH=CHCH=CH@7)C[18]=CHCH=CHCH=CH@18
-3.37,CH2(CH2C[7]=CHCH=CHCH=CH@7)CH3
-3.03,CH2(CH2C(=CH2)CH3)CH3
-1.64,CH2(CH2C#CH)CH3
-4.64,CH2(CH2CH2C[10]=CHCH=CHCH=CH@10)CH2CH3
-3.01,CH2(CH2CH2C#CH)CH2CH3
-4.24,CH2(CH2CH2CH2C#CH)CH2CH2CH3
-8.33,CH2(CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH3)CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH3
-8.17,CH2(CH2CH2CH2CH2CH2CH2CH2CH2CH2CH3)CH2CH2CH2CH2CH2CH2CH2CH2CH3
-8.4,CH2(CH2CH2CH2CH2CH2CH2CH2CH3)CH2CH2CH2CH2CH2CH2CH3
-7.96,CH2(CH2CH2CH2CH2CH2CH2CH3)CH2CH2CH2CH2CH2CH3
-5.88,CH2(CH2CH2CH2CH3)CH2CH2CH2CH3
-5.51,CH2(CH2CH2CH2CH3)CH2CH2CH2CH=CH2
-5.24,CH2(CH2CH2CH2CH3)CH2CH2CH3
-5.05,CH2(CH2CH2CH2CH=CH2)CH2CH2CH3
-5.21,CH2(CH2CH2CH3)CH2CH2C[20]=CHCH=CHCH=CH@20
-3.66,CH2(CH2CH2CH3)CH2CH2C#CH
-4.53,CH2(CH2CH2CH3)CH2CH2CH3
-4.44,CH2(CH2CH2CH3)CH2CH2CH=CH2
-3.84,CH2(CH2CH2CH3)CH2CH3
-3.73,CH2(CH2CH2CH=CH2)CH2CH3
-4.06,CH2(CH2CH3)CH2C[14]=CHCH=CHCH=CH@14
-2.36,CH2(CH2CH3)CH2C#CH
-3.18,CH2(CH2CH3)CH2CH3
-3.23,CH2(CH2CH3)CH2CH=CH2
-3.82,CH2(CH2CH3)CH2CH=[S=N]CHCH3
-3.82,CH2(CH2CH3)CH2CH=[S=I]CHCH3
-2.57,CH2(CH2CH3)CH3
-2.68,CH2(CH2CH=CH2)CH3
-2.68,CH2(CH2CH=CH2)CH=CH2
-4.17,CH2(CH3)C[8]C[9]=C(CH=CHCH=@8)CH=CHCH=CH@9
-3.28,CH2(CH3)C[8]=C(CH=CHCH=CH@8)CH2CH3
-3.21,CH2(CH3)C[8]=C(CH=CHCH=CH@8)CH3
-6.89,CH2(CH3)C[8]=CHC[11]=C(CH=C[15]C(=CH@11)CH=CHCH=CH@15)CH=CH@8
-4.29,CH2(CH3)C[8]=CHC[11]=C(CH=CH@8)CH=CHCH=CH@11
-3.75,CH2(CH3)C[8]=CHCH=C(CH=CH@8)CH2CH3
-3.11,CH2(CH3)C[8]=CHCH=C(CH=CH@8)CH3
-2.77,CH2(CH3)C[8]=CHCH=CHCH=CH@8
-1.99,CH2(CH3)C#CCH2CH3
-1.24,CH2(CH3)C#CH
-2.73,CH2(CH3)C(=CH2)CH3
-1.94,CH2(CH3)CH3
-1.94,CH2(CH3)CH=CH2
-2.54,CH2(CH3)CH=[S=N]CHCH3
-2.54,CH2(CH3)CH=[S=I]CHCH3
-2.09,CH2(CH=CH2)CH=CH2
-7.02,CH3C[5]=C[6]C[7]=C(CH=CHC@6=C(C[15]=C@5CH=CHCH=CH@15)CH3)CH=CHCH=CH@7
-6.57,CH3C[5]C[6]=C(C[8]=C(C[10]=C(CH=CH@8)CH=CHCH=CH@10)CH=@5)CH=CHCH=CH@6
-7.01,CH3C[5]C[6]=C(C[8]=C(C=@5CH3)CH=CHCH=CH@8)CH=CHC[27]=C@6CH=CHCH=CH@27
-6.59,CH3C[5]C[6]=C(C[8]=C(CH=@5)CH=CHCH=CH@8)CH=CHC[24]=C@6CH=CHCH=CH@24
-5.85,CH3C[5]C[6]=C(C[8]=C(CH=CH@6)CH=CHCH=CH@8)CH=CHCH=@5
-6.57,CH3C[5]=C[6]C(=C(C[9]=C@5CH=CHCH=CH@9)CH3)CH=CHCH=CH@6
-4.92,CH3C[5]C[6]=C(C(=CHCH=@5)CH3)CH=CHCH=C@6CH3
-4.14,CH3C[5]C[6]=C(C(=CHCH=@5)CH3)CH=CHCH=CH@6
-4.74,CH3C[5]C[6]=C(C(=CHCH=CH@6)CH3)CH=CHCH=@5
-5.89,CH3C[5]=C[6]C(=CHC[10]=C@5CH=CHCH=CH@10)CH=CHCH=CH@6
-4.29,CH3C[5]C[6]=C(CH=C(CH=@5)CH3)CH=CHCH=CH@6
-3.7,CH3C[5]C[6]=C(CH=CHCH=@5)CH=CHCH=CH@6
-5.23,CH3C[5]=C(C(=C(C(=C@5CH3)CH3)CH3)CH3)CH3
-4,CH3C[5]=C(C(=CHC(=C@5CH3)CH3)CH3)CH3
-4.72,CH3C[5]=C(CH=C[9]C(=CH@5)CH=CHCH=CH@9)CH3
-4.59,CH3C[5]=C(CH=C(C(=CH@5)CH3)CH3)CH3
-3.31,CH3C[5]=C(CH=CHC(=CH@5)CH3)CH3
-3.2,CH3C[5]=C(CH=CHCH=C@5CH3)CH3
-2.8,CH3C[5]=C(CH=CHCH=CH@5)CH3
-5.84,CH3C[5]=CHC[8]=C(C[10]=C(CH=CH@8)CH=CHCH=CH@10)CH=CH@5
-6.96,CH3C[5]=CHC[8]=C(CH=C[12]C(=CH@8)CH=CHCH=CH@12)CH=CH@5
-4.89,CH3C[5]=CHC[8]=C(CH=C(CH=CH@8)CH3)CH=CH@5
-3.77,CH3C[5]=CHC[8]=C(CH=CH@5)CH=CHCH=CH@8
-3.4,CH3C[5]=CHC(=CHC(=CH@5)CH3)CH3
-2.82,CH3C[5]=CHC(=CHCH=CH@5)CH3
-4.62,CH3C[5]=CHCH=C(CH=CH@5)C[15]=CHCH=CHCH=CH@15
-2.77,CH3C[5]=CHCH=C(CH=CH@5)CH3
-2.21,CH3C[5]=CHCH=CHCH=CH@5
-0.41,CH3C#CH
-2.4,CH3C(=CH2)C(=CH2)CH3
-2.33,CH3C(=CH2)CH3
-2.03,CH3C(=CH2)CH=CH2
-2.56,CH3C(=CHCH3)CH3
-1.36,CH3CH3
-1.08,CH3CH=CH2
-0.9,CH4
0.29,CH#CH
-4.12,CH(CH2C[6]=CHCH=CHCH=CH@6)(CH3)CH3
-5.08,CH(CH2CH2CH2CH2CH3)(CH3)CH3
-5.16,CH(CH2CH2CH2CH3)(CH2CH3)CH3
-3.74,CH(CH2CH2CH3)(CH3)CH3
-3.68,CH(CH2CH3)(CH2CH3)CH3
-3.89,CH(CH2CH3)(CH3)C[14]=CHCH=CHCH=CH@14
-3.18,CH(CH2CH3)(CH3)CH3
-1.87,CH(=CH2)CH=CH2
-3.24,CH(CH2CH=CH2)(CH3)CH3
-4.26,CH(CH2CH(CH3)CH3)(CH3)CH3
-3.76,CH(CH3)(CH3)C[11]=C(CH=CHCH=CH@11)CH3
-3.77,CH(CH3)(CH3)C[11]=CHCH=C(CH=CH@11)CH3
-3.27,CH(CH3)(CH3)C[11]=CHCH=CHCH=CH@11
-2.55,CH(CH3)(CH3)CH3
-2.73,CH(CH3)(CH3)CH=CH2
-4.28,CH(CH(CH3)CH3)(CH2CH3)CH3
-3.65,CH(CH(CH3)CH3)(CH3)CH3
-4.8,CH(CH(CH3)CH3)(CH(CH3)CH3)CH3
-5.26,ClC[2]C[3](C[4](C[5](C(C@2(C@4(Cl)Cl)Cl)(C@2(C(C@3@5Cl)=O)Cl)Cl)Cl)Cl)Cl
-6.8,ClC[2]C[3](C[4](C[5](C(C@2(C(C@3@5Cl)(Cl)Cl)Cl)(C@2(C@4(Cl)Cl)Cl)Cl)Cl)Cl)Cl
-4.61,ClC[2]=C[3]C(=C(CH=C@2OCH3)OCH3)C(C[20](O@3)CH(CH2C(CH=C@20OCH3)=O)CH3)=O
-2.88,ClC[2]C[3]=C(C(=CHCH=@2)OH)C(C[13]=C(C[15](CH(CH2CH@13C@3(OH)CH3)CH(C(=C(C@15=O)C(=O)NH2)OH)N(CH3)CH3)OH)OH)=O
-2.52,ClC[2]C[3]=C(C(=CHCH=@2)OH)C(C[13]=C(C[15](CH(CH2CH@13CH@3OH)CH(C(=C(C@15=O)C(=O)NH2)OH)N(CH3)CH3)OH)OH)=O
-3.93,ClC[2]C[3]=C(CH=CHCH=@2)CH=CHCH=CH@3
-2.61,ClC[2]=C[3]C(=CHCH=CH@2)SC(N@3CH2C(=O)OH)=O
-6.29,ClC[2]C[3]HC[5]HC[7]HOCH@7CH(CH@3C(C@2(Cl)Cl)(C(=C@2Cl)Cl)Cl)CH2@5
-6.29,ClC[2]C[3]HC[5]HOCH@5CH(CH@3C(C@2(Cl)Cl)(C(=C@2Cl)Cl)Cl)Cl
-7.33,ClC[2]C[3]HCH(C(C@2(Cl)Cl)(C(=C@2Cl)Cl)Cl)C[16]HCH2CH@3CH=CH@16
-6.86,ClC[2]C[3]HCH(C(C@2(Cl)Cl)(C(=C@2Cl)Cl)Cl)CH2CH(CH@3Cl)Cl
-5.64,ClC[2]C[3]HCH(C(C@2(Cl)Cl)(C(=C@2Cl)Cl)Cl)CH=CHCH2@3
-6.32,ClC[2]C[3]HCH(C(C@2(Cl)Cl)(C(=C@2Cl)Cl)Cl)CH=CHCH@3Cl
-5.46,ClC[2]C[3]HCH(C(C@2(Cl)Cl)(C(=C@2Cl)Cl)Cl)CH=CHCH@3OH
-5.43,ClC[2]C[3]N=CHCH=NC=@3C(=C(C=@2Cl)Cl)Cl
-4.98,ClC[2]C[3]=NSN=C@3C(=CHC=@2Cl)Cl
-11.62,ClC[2]=C(C(=C(C(=C@2Cl)Cl)C[10]=C(C(=C(C(=C@10Cl)Cl)Cl)Cl)Cl)Cl)Cl
-10.26,ClC[2]=C(C(=C(C(=C@2Cl)Cl)C[10]=C(C(=C(C(=CH@10)Cl)Cl)Cl)Cl)Cl)Cl
-10.41,ClC[2]=C(C(=C(C(=C@2Cl)Cl)C[10]=C(C(=CHC(=C@10Cl)Cl)Cl)Cl)Cl)Cl
-7.92,ClC[2]=C(C(=C(C(=C@2Cl)Cl)C[10]=C(CH=C(CH=CH@10)Cl)Cl)Cl)Cl
-8.94,ClC[2]=C(C(=C(C(=C@2Cl)Cl)C[10]=C(CH=CHC(=CH@10)Cl)Cl)Cl)Cl
-7.92,ClC[2]=C(C(=C(C(=C@2Cl)Cl)C[10]=CHCH=CHCH=CH@10)Cl)Cl
-4.28,ClC[2]=C(C(=C(C(=C@2Cl)Cl)OH)Cl)Cl
-5.64,ClC[2]=C(C(=C(C(=C@2Cl)C#N)Cl)C#N)Cl
-4.02,ClC[2]=C(C(=C(C(=C@2Cl)OCH3)OH)Cl)Cl
-8.3,ClC[2]=C(C(=C(CH=C@2Cl)Cl)C[11]=C(C(=C(CH=CH@11)Cl)Cl)Cl)Cl
-7.92,ClC[2]=C(C(=C(CH=C@2Cl)Cl)C[11]=C(CH=C(C(=CH@11)Cl)Cl)Cl)Cl
-7.43,ClC[2]=C(C(=C(CH=C@2Cl)Cl)C[11]=C(CH=CHCH=CH@11)Cl)Cl
-7.66,ClC[2]=C(C(=C(CH=C@2Cl)Cl)C[11]=CHC(=C(CH=CH@11)Cl)Cl)Cl
-3.1,ClC[2]=C(C(=C(CH=C@2Cl)Cl)OH)Cl
-1.7,ClC[2]=C(C(=C(CH=CH@2)Cl)C(=O)OH)OCH3
-9.16,ClC[2]=C(C(=CHC(=C@2Cl)C[10]=C(C(=C(C(=CH@10)Cl)Cl)Cl)Cl)Cl)Cl
-8.42,ClC[2]=C(C(=CHC(=C@2Cl)C[10]=C(C(=CHCH=CH@10)Cl)Cl)Cl)Cl
-7.39,ClC[2]=C(C(=CHC(=C@2Cl)C[10]=C(CH=C(CH=CH@10)Cl)Cl)Cl)Cl
-7.68,ClC[2]=C(C(=CHC(=C@2Cl)C[10]=C(CH=CHC(=CH@10)Cl)Cl)Cl)Cl
-7.21,ClC[2]=C(C(=CHC(=C@2Cl)C[10]=C(CH=CHCH=CH@10)Cl)Cl)Cl
-7.82,ClC[2]=C(C(=CHC(=C@2Cl)C[10]=CHC(=C(CH=CH@10)Cl)Cl)Cl)Cl
-7.16,ClC[2]=C(C(=CHC(=C@2Cl)C[10]=CHCH=CHCH=CH@10)Cl)Cl
-5.65,ClC[2]=C(C(=CHC(=C@2Cl)Cl)Cl)Cl
-3.15,ClC[2]=C(C(=CHC(=C@2Cl)OH)Cl)Cl
-8.71,ClC[2]=C(C(=CHC(=CH@2)Cl)Cl)C[12]=C(CH=C(CH=C@12Cl)Cl)Cl
-7.32,ClC[2]=C(C(=CHC(=CH@2)Cl)Cl)C[12]=C(CH=CHCH=C@12Cl)Cl
-6.14,ClC[2]=C(C(=CHC(=CH@2)Cl)Cl)C[12]=CHCH=CHCH=CH@12
-2.34,ClC[2]=C(C(=CHC(=CH@2)Cl)Cl)OH
-8.01,ClC[2]=C(C(=CHCH=C@2Cl)C[11]=C(C(=C(CH=CH@11)Cl)Cl)Cl)Cl
-7.05,ClC[2]=C(C(=CHCH=C@2Cl)C[11]=C(C(=CHCH=CH@11)Cl)Cl)Cl
-8.32,ClC[2]=C(C(=CHCH=C@2Cl)C[11]=C(CH=C(C(=CH@11)Cl)Cl)Cl)Cl
-7.8,ClC[2]=C(C(=CHCH=C@2Cl)C[11]=C(CH=C(CH=CH@11)Cl)Cl)Cl
-7.91,ClC[2]=C(C(=CHCH=C@2Cl)C[11]=C(CH=CHC(=CH@11)Cl)Cl)Cl
-7.05,ClC[2]=C(C(=CHCH=C@2Cl)C[11]=CHC(=C(CH=CH@11)Cl)Cl)Cl
-4.57,ClC[2]=C(C(=CHCH=C@2Cl)Cl)Cl
-2.67,ClC[2]=C(C(=CHCH=C@2Cl)OH)Cl
-6.8,ClC[2]=C(C(=CHCH=CH@2)Cl)C[12]=C(CH=CHC(=CH@12)Cl)Cl
-7.39,ClC[2]=C(C(=CHCH=CH@2)Cl)C[12]=C(CH=CHCH=C@12Cl)Cl
-6.14,ClC[2]=C(C(=CHCH=CH@2)Cl)C[12]=CHCH=C(CH=CH@12)Cl
-5.21,ClC[2]=C(C(=CHCH=CH@2)Cl)C[12]=CHCH=CHCH=CH@12
-2.1,ClC[2]=C(C(=CHCH=CH@2)Cl)CH2OH
-4.24,ClC[2]=C(C(=CHCH=CH@2)Cl)C#N
-1.79,ClC[2]=C(C(=CHCH=CH@2)Cl)OH
-2.62,ClC[2]C(=CHC[6]=C(CH=@2)NHCH2NHS@6(=O)=O)S(=O)(=O)NH2
-3.78,ClC[2]C(=CHC[6]=C(CH=@2)NHCH(N(C@6=O)C[17]=C(CH=CHCH=CH@17)CH3)CH3)S(=O)(=O)NH2
-3.29,ClC[2]C(=CHC[6]=C(CH=@2)NHCH(NHC@6=O)CH2CH3)S(=O)(=O)NH2
-3.05,ClC[2]C(=CHC[6]=C(CH=@2)N=CHNHS@6(=O)=O)S(=O)(=O)NH2
-9.15,ClC[2]=C(CH=C(C(=C@2C[9]=C(C(=CHC(=C@9Cl)Cl)Cl)Cl)Cl)Cl)Cl
-8.6,ClC[2]=C(CH=C(C(=C@2C[9]=C(C(=CHCH=CH@9)Cl)Cl)Cl)Cl)Cl
-7.42,ClC[2]=C(CH=C(C(=C@2C[9]=C(CH=CHC(=CH@9)Cl)Cl)Cl)Cl)Cl
-3.37,ClC[2]=C(CH=C(C(=C@2OH)Cl)Cl)Cl
-8.56,ClC[2]=C(CH=C(C(=CH@2)Cl)C[11]=C(CH=C(C(=CH@11)Cl)Cl)Cl)Cl
-7.89,ClC[2]=C(CH=C(C(=CH@2)Cl)C[11]=C(CH=CHC(=CH@11)Cl)Cl)Cl
-7.39,ClC[2]=C(CH=C(C(=CH@2)Cl)C[11]=CHC(=C(CH=CH@11)Cl)Cl)Cl
-6.27,ClC[2]=C(CH=C(C(=CH@2)Cl)C[11]=CHCH=CHCH=CH@11)Cl
-5.56,ClC[2]=C(CH=C(C(=CH@2)Cl)Cl)Cl
-4.52,ClC[2]=C(CH=C(C(=CH@2)Cl)C(=[S=N]CHCl)OP(=O)(OCH3)OCH3)Cl
-2.96,ClC[2]=C(CH=C(C(=CH@2)Cl)OCH2C(=O)OH)Cl
-5.69,ClC[2]=C(CH=C(C(=CH@2)Cl)OCH(CH3)CH3)N[22]N=C(OC@22=O)C(CH3)(CH3)CH3
-2.21,ClC[2]=C(CH=C(C(=CH@2)Cl)OH)Cl
-5.75,ClC[2]=C(CH=C(C(=CH@2)Cl)OP(=S)(OCH2CH3)CH2CH3)Cl
-5.72,ClC[2]=C(CH=C(C(=CH@2)Cl)OP(=S)(OCH3)OCH3)Cl
-3.18,ClC[2]=C(CH=C(C(=CH@2)C(=O)NHCH2CH2N(CH2CH3)CH2CH3)OCH3)NH2
-3.66,ClC[2]=C(CH=C(C(=CH@2)NHCH2C[15]OCH=CHCH=@15)C(=O)OH)S(=O)(=O)NH2
-2.53,ClC[2]=C(CH=C(C(=CH@2)OCH3)OH)Cl
-3.79,ClC[2]=C(CH=C(C(=CH@2)OH)C(=O)NHC[16]=C(CH=CHCH=C@16CH3)CH3)S(=O)(=O)NH2
-8.6,ClC[2]=C(CH=C(CH=C@2C[10]=C(CH=C(C(=CH@10)Cl)Cl)Cl)Cl)Cl
-8.71,ClC[2]=C(CH=C(CH=C@2C[10]=C(CH=C(CH=C@10Cl)Cl)Cl)Cl)Cl
-2.8,ClC[2]=C(CH=C(CH=C@2CH3)OH)CH3
-4.63,ClC[2]=C(CH=C(CH=C@2Cl)Cl)Cl
-3.26,ClC[2]=C(CH=C(CH=C@2C(=O)OCH3)Cl)NH2
-2.47,ClC[2]=C(CH=C(CH=C@2C(=O)OH)Cl)NH2
-2.67,ClC[2]=C(CH=C(CH=C@2OH)Cl)Cl
