Expt.,SLN
-1.6916,C[1](:C(:CH:CH:CH:CH:@1)NHC[13]:C(:CH:CH:CH:C:@13Cl)Cl)CH2C(=O)OH
-3.5965,CH3N[5]CH2CH2N(CH2CH2@5)C[19]:C(:CH:C[23]:C(:CH:@19)N(CH=C(C@23=O)C(=O)OH)C[37]:CH:CH:C(:CH:CH:@37)F)F
-2.8996,O=C[2]CH(OC(CH3)=O)CH(C[14]:CH:CH:C(OCH3):CH:CH:@14)SC[30]:CH:CH:CH:CH:C:@30N@2CH2CH2N(CH3)CH3
-2.5125,CH3N(CH3)CH2CH2OCH(C[19]:CH:CH:CH:CH:CH:@19)C[30]:CH:CH:CH:CH:CH:@30
-3.6277,O=C[2]NHC(=O)NHC@2(C[10]:CH:CH:CH:CH:CH:@10)C[21]:CH:CH:CH:CH:CH:@21
-3.3621,CH3CH2N[8]CH2CH2N(CH2CH2@8)C[22]:C(:CH:C[26]:C(:CH:@22)N(CH=C(C@26=O)C(=O)OH)C[40]HCH2CH2@40)F
-5.4559,NH2C(CH2CH2SCH2C[15]:CH:S:C(N=C(NH2)NH2):N:@15)=[S=N]NS(=O)(NH2)=O
-3.5998,CH3CH(C[7]:CH:C(:CH:CH:CH:@7)OC[18]:CH:CH:CH:CH:CH:@18)C(=O)OH
-3.1589,C(C[2]:C(NHC[6]:CH:C(:CH:CH:CH:@6)C(F)(F)F):CH:CH:CH:CH:@2)(=O)OH
-2.9457,C[1]C(C(=CHN[6]CH(CH2CH2C(:C:@1@6):CH:C(:CH:@1)F)CH3)C(=O)OH)=O
-3.8561,OHC[3]:C(Br):CH:C(:C(:CH:@3)OH)C(OH)=O
-3.1811,C(CH(CH3)C[8]:CH:C(:C(:CH:CH:@8)C[17]:CH:CH:CH:CH:CH:@17)F)(=O)OH
-2.6468,O=C(NHS(=O)(C[7]:CH:CH:C(CH2CH2NHC(C[22]:N:CH:C(CH3):N:CH:@22)=O):CH:CH:@7)=O)NHC[42]HCH2CH2CH2CH2CH2@42
-3.6982,N[1]H:CH:N:C[6]N=C(NH2)NHC(=O)C:@1:@6
-5.3546,O=C[2]N(C(=O)NHC(=O)C@2(C[11]CH2CH2CH2CH2CH=@11)CH3)CH3
-3.7326,S[1](=O)(=O)NHCH2NHC[11]:C@1:CH:C(S(=O)(=O)NH2):C(:CH:@11)C(F)(F)F
-4.1518,C(C[2]:CH:CH:C(:CH:CH:@2)OH)(=O)OH
-5.4881,CH(CH3)(CH3)CH2C[14]:CH:CH:C(:CH:CH:@14)CH(CH3)C(=O)OH
-4.4274,CH3CH2N[8]CH=C(C(=O)C[14]:CH:C(:C(:C(:C@8:@14)F)N[22]CH2CH2NHCH(CH2@22)CH3)F)C(=O)OH
-2.6731,NH(CH3)CH2CH2CH2C[16]C[17]:C(CH(C[21]:CH:CH:CH:CH:C@16:@21)CH2CH2@16):CH:CH:CH:CH:@17
-2.9665,C(C[2]:C(NHC[6]:C(:C(:CH:CH:CH:@6)CH3)CH3):CH:CH:CH:CH:@2)(=O)OH
-1.4644,O=C(NHC[5]:CH:CH:C(:CH:CH:@5)OH)CH3
-3.5944,CH3CH2N(CH2CH3)CH2CH2NHC(=O)C[26]:CH:C(:C(:CH:C:@26OCH3)NH2)Cl
-2.3328,OHCH2CH2N[9]:C(:N:CH:C:@9N[+1](O[-1])=O)CH3
-4.6914,C[1]H:CH:C(:C(:CH:C:@1Cl)Cl)CH2OCH(CH2N[21]:CH:CH:N:CH:@21)C[29]:C(:CH:C(:CH:CH:@29)Cl)Cl
-6.7447,CH3CH2N[8]CH=C(C(=O)C[14]:C@8:N:C(:CH:CH:@14)CH3)C(=O)OH
-3.5655,CH2=CHCH2N[9]CH2CH2C[16]C[17]HC(=O)CH2CH2C@16(CH@9CH2C[33]:C@16:C(:C(:CH:CH:@33)OH)O@17)OH
-1.2214,O=C(OH)CH(CH3)C[11]:CH:CH:C[16]:CH:C(:CH:CH:C:@16:CH:@11)OCH3
-5.0685,C(C[2]:CH:CH:CH:N:C:@2NHC[13]:CH:C(:CH:CH:CH:@13)C(F)(F)F)(=O)OH
-3.6101,O=C[2]NHC(CH2N@2N=[S=N]CHC[13]:CH:CH:C(:O:@13)N[+1](=O)O[-1])=O
-2.8978,CH3CH2N[8]CH=C(C(=O)C[14]:CH:C(:C(:CH:C@8:@14)N[22]CH2CH2NHCH2CH2@22)F)C(=O)OH
-4.4961,NH(CH2CH2CH=C[11]C[12]:C(CH2CH2C[20]:C@11:CH:CH:CH:CH:@20):CH:CH:CH:CH:@12)CH3
-4.5789,S(=O)(=O)(NH2)C[7]:S:C(NHC(=O)CH3):N:N:@7
-3.2385,CH3C[5]HCH2OC[11]:C[12]N@5CH=C(C(=O)C:@12:CH:C(:C:@11N[24]CH2CH2N(CH2CH2@24)CH3)F)C(=O)OH
-2.7565,C[1](C(=C(CH(C[6]HCH(C[10]HC(C[13]:CH:CH:CH:C(:C:@13C(C@10=C(C@1@6OH)OH)=O)OH)(CH3)OH)OH)N(CH3)CH3)OH)C(=O)NH2)=O
-4.0168,C[1](:N:CH:CH:C[7]:CH:C(:C(:CH:C:@1:@7)OCH3)OCH3)CH2C[28]:CH:C(:C(:CH:CH:@28)OCH3)OCH3
-1.2655,C[1]:C(:CH:CH:C[7]:CH:CH:CH:N:C:@1:@7):CH:CH:CH:N:@1
-3.0881,C[1]H:CH:CH:C(:CH:CH:@1)N=[S=N]NC[14]:C(:N:C(:CH:CH:@14)NH2)NH2
-3.8672,C[1](NHC(C(C(NH@1)=O)(C[10]:CH:CH:CH:CH:CH:@10)CH2CH3)=O)=O
-1.618,N[1](N(C(CH(C@1=O)CH2CH2CH2CH3)=O)C[22]:CH:CH:CH:CH:CH:@22)C[33]:CH:CH:CH:CH:CH:@33
-4.1933,C(C[2]:C(C(=O)OH):CH:CH:CH:CH:@2)(=O)OH
-2.2935,CH2(CH(CH2NHCH(CH3)CH3)OH)OC[24]:C[25]:CH:CH:NH:C:@25:CH:CH:CH:@24
-4.3908,S[1](N(C(=C(C[5]:C@1:CH:CH:CH:CH:@5)OH)C(=O)NHC[21]:CH:CH:CH:CH:N:@21)CH3)(=O)=O
-1.4927,CH2(CH(CH2NHCH(CH3)CH3)OH)OC[24]:C(:CH:CH:CH:CH:@24)CH2CH=CH2
-3.7881,NH2C[4]:CH:CH:C(C(OCH2CH2N(CH2CH3)CH2CH3)=O):CH:CH:@4
-4.8019,OHCH(CH2NHCH(CH3)CH3)CH2OC[24]:C[25]:C(:CH:CH:CH:CH:@25):CH:CH:CH:@24
-1.7191,OHCH(C[5]HN[7]CH2CH2CH(CH(CH2@7)CH=CH2)CH2@5)C[29]:C[30]:CH:C(OCH3):CH:CH:C:@30:N:CH:CH:@29
-3.4938,S(CH2C[5]:O:C(CH2N(CH3)CH3):CH:CH:@5)CH2CH2NHC(NHCH3)=[S=I]CHN[+1](O[-1])=O
-2.7865,C[1]H2CH2N(CH2CH2NH@1)C[16]:C(:CH:C[20]:C(:CH:@16)N(CH=C(C@20=O)C(=O)OH)C[34]:CH:CH:C(:CH:CH:@34)F)F
-2.5009,CH3C[5]HCH2N(CH2CH(NH@5)CH3)C[22]:C(:C[24]:C(:C(:C:@22F)NH2)C(=O)C(=CHN@24C[38]HCH2CH2@38)C(=O)OH)F
-3.1334,C(CH3)(=O)NHS(=O)(=O)C[12]:CH:CH:C(:CH:CH:@12)NH2
-3.3711,S(=O)(=O)(NHC[6]:N:C(:CH:C(:N:@6)CH3)CH3)C[21]:CH:CH:C(NH2):CH:CH:@21
-1.5199,C(C[2]:C(:CH:CH:C(:CH:@2)N=[S=N]NC[13]:CH:CH:C(:CH:CH:@13)S(=O)(=O)NHC[28]:CH:CH:CH:CH:N:@28)OH)(=O)OH
-2.7325,NH2C[4]:CH:CH:C(S(NHC[13]:N:CH:CH:S:@13)(=O)=O):CH:CH:@4
-6.1367,C[1]H2C[4]HCH2C[9]HCH2CH@1CH2C(CH2@4)(CH2@9)NH2
-2.6892,CH3C[5]=C(C[7]:C(C@5=[S=I]CHC[12]:CH:CH:C(:CH:CH:@12)S(=O)CH3):CH:CH:C(:CH:@7)F)CH2C(=O)OH
-3.6778,C(C[2]:CH:CH:C(:CH:CH:@2)NHCH2CH2CH2CH3)(=O)OCH2CH2N(CH3)CH3
-3.0109,CH3C[5](C[6]HCH2C[11]HCH(C(=O)C(=[S=I]C(NH2)OH)C(=O)C@11(C(=O)C@6=C(C[31]:C@5:CH:CH:CH:C:@31OH)OH)OH)N(CH3)CH3)OH
-2.926,C[1](:CH:C(CH3):CH:CH:C:@1CH(CH3)CH3)OH
-2.1857,CH3C[5]:CH:CH:C(:CH:CH:@5)C(=O)C[17]:CH:CH:C(:N:@17CH3)CH2C(=O)OH
-4.0919,S[1](NHCH(NHC[8]:C@1:CH:C(:C(:CH:@8)Cl)S(=O)(=O)NH2)CH(Cl)Cl)(=O)=O
-3.18,C[1](:N:C(:C(:CH:N:@1)CH2C[11]:CH:C(:C(:C(:CH:@11)OCH3)OCH3)OCH3)NH2)NH2
-2.9511,N[1](C[2]:C(CH2CH2C[10]:C@1:CH:CH:CH:CH:@10):CH:CH:CH:CH:@2)CH2CH(CH2N(CH3)CH3)CH3
-4.7889,NH2CH2CH2C[10]:CH:NH:C[15]:CH:CH:CH:CH:C:@10:@15
-3.2956,N#CC(CH(CH3)CH3)(CH2CH2CH2N(CH2CH2C[30]:CH:CH:C(OCH3):C(OCH3):CH:@30)CH3)C[53]:CH:CH:C(OCH3):C(OCH3):CH:@53
-3.9758,CH3N(CH3)CH2CH2CH=C[18]C[19]:CH:CH:CH:CH:C:@19CH2CH2C[35]:CH:CH:CH:CH:C@18:@35
-4.7838,O=C[2]C(CH(CH2C(CH3)=O)C[15]:CH:CH:CH:CH:CH:@15)=C(OH)C[29]:C(O@2):CH:CH:CH:CH:@29
