# SMILES,CAS,logS
c1c(NN)cccc1	100-63-0	0.07
OCC(C)C	78-83-1	0.04
[O-][S+2]([O-])(CC)CC	597-35-3	0.04
c1c2c([nH0]cc[nH0]2)[nH0]c[nH0]1	91-18-9	0.02
NNC(=O)c1cc[nH0]cc1	54-85-3	0.01
c1c(O)cccc1	108-95-2	0
O=CCCC	123-72-8	-0.01
C1C2CCC(C(C1O)C(O)=O)N2C	481-37-8	-0.02
C1CCCOC1	142-68-7	-0.03
O=C1C(CC)NC(N1)=O	15414-82-1	-0.06
o1c(C)cc([nH0]1)O	10004-44-1	-0.07
CC(C(C(O)=O)N)O	72-19-5	-0.09
CCOCC	60-29-7	-0.09
O=Cc1ccco1	98-01-1	-0.10
[nH0]1c(C)[nH0]c2c([nH0]cc[nH0]2)c1	2432-20-4	-0.12
CC(C)(C(C(O)=O)N)S	52-67-5	-0.13
CCN(CC)CC	121-44-8	-0.14
[nH]1cccc1	109-97-7	-0.17
OC1C(CC(C(C1O)O)O)O	488-73-3	-0.17
CN1c2c(C(N(C)C1=O)=O)[nH0](CC(CO)O)c[nH0]2	479-18-5	-0.17
C1N(N=O)CCCC1	100-75-4	-0.17
O=C(C)CCC	107-87-9	-0.19
O=C(O)CCC	107-92-6	-0.19
CN(C)NC(CCC(O)=O)=O	1596-84-5	-0.20
O=C(O)CCC(O)=O	110-15-6	-0.20
CC(C(C)C)O	598-75-4	-0.20
C=CC(=O)OC	96-33-3	-0.22
CCC(CC)O	584-02-1	-0.24
OC(C1C(C2CCC1O2)C(O)=O)=O	145-73-3	-0.27
CCCC(C)O	6032-29-7	-0.29
OC(C(C)(C)C(C)(CC(O)=O)C(O)=O)=O	2385-74-2	-0.29
N#CCCCl	542-76-7	-0.29
c1c(O)c(CO)ccc1	90-01-7	-0.29
O=C(N)OCC(C)C	2114-15-0	-0.30
NC(N)=NC#N	461-58-5	-0.31
CCC(C)(CC)O	77-74-7	-0.38
c1c(N)ccc(c1)N	106-50-3	-0.38
CCCOC	557-17-5	-0.39
CC(C)C(C)CO	19550-30-2	-0.39
c1c(CO)cccc1	100-51-6	-0.40
O=C(C(CCSC)N)O	63-68-3	-0.42
Nc1c(N)cccc1	95-54-5	-0.42
c1ccccc1C(C(C)NC)O	299-42-3	-0.42
C1C(O)CCCC1	108-93-0	-0.44
O=C(C)CC1CCCCN1	4396-01-4	-0.45
c1c(O)ccc[nH0]1	109-00-2	-0.46
COC(=O)c1ccc[nH0]c1	93-60-7	-0.46
[nH0]1c2[nH0]c[nH0]c(C)c2[nH0]cc1	2432-21-5	-0.47
c1ccccc1C(CN)O	7568-93-6	-0.48
CN1C2CC(CC1C1C2O1)OC(C(c1ccccc1)CO)=O	51-34-3	-0.48
CCCOC=O	110-74-7	-0.49
OC(CCN)C(NC1CC(C(C(C1OC1C(C(C(C(CO)O1)O)N)O)O)OC1C(C(C(C(CN)O1)O)O)O)N)=O	37517-28-5	-0.50
CC(CCO)(C)C	624-95-3	-0.50
O=C(C(Cc1c[nH]c[nH0]1)N)O	71-00-1	-0.53
OCC(CC)C(CCC)O	94-96-2	-0.54
O=C(C(CCC(N)=O)N)O	56-85-9	-0.55
O1CC1C	75-56-9	-0.59
C1C(=O)CCCC1	108-94-1	-0.60
O=C(C)OCC(COC(C)=O)OC(C)=O	102-76-1	-0.60
CC(C(C)(C)C)O	464-07-3	-0.62
CN(C=1C(=O)N(c2ccccc2)N(C1C)C)C	58-15-1	-0.63
ClCCl	75-09-2	-0.63
O=C(N)OCCCC	592-35-8	-0.66
CCCOCC	628-32-0	-0.66
CCOC(=O)CC	105-37-3	-0.66
c1c(O)cccc1C	108-39-4	-0.68
c1c(NC=O)cccc1	103-70-8	-0.68
c1c(O)ccc(c1)Cl	106-48-9	-0.70
c1c(O)cccc1Cl	108-43-0	-0.70
c1c(O)ccc(c1)C	106-44-5	-0.70
CCC(C(C)C)O	565-67-3	-0.70
c1c(OCCO)cccc1	122-99-6	-0.71
CCC(C)C(C)O	565-60-6	-0.72
O=C(C)OCCC	109-60-4	-0.72
CC(C(C)(C)O)(C)C	594-83-2	-0.72
Oc1c(N)cccc1	95-55-6	-0.72
OCCN(CCO)c1ccccc1	120-07-0	-0.73
CCOC(=O)C=C	140-88-5	-0.74
c1c(O)ccc(c1)[N+]([O-])=O	100-02-7	-0.74
c1c(NO)cccc1	100-65-2	-0.74
O=C(CC(C(O)=O)N)N	70-47-3	-0.74
OCC1C(C(C(C(OCC2C(C(C(C(OC(c3ccccc3)C#N)O2)O)O)O)O1)O)O)O	29883-15-6	-0.77
CCOCCOCC	629-14-1	-0.77
[nH0]1c2ccccc2[nH][nH0]1	95-14-7	-0.78
c1c(N)ccc(c1)O	123-30-8	-0.80
CN1C(=O)NC(C=C1)=O	615-77-0	-0.80
CCCC(CC)O	623-37-0	-0.80
O=C(C(=C)C)OC	80-62-6	-0.80
NC(OCC(C)(C)C)=O	3124-46-7	-0.80
O=C(CC(=O)OCC)OCC	105-53-3	-0.82
o1cccc1	110-00-9	-0.82
O=C(CCC)OC	623-42-7	-0.82
[O-][S+](CC=C)SCC=C	539-86-6	-0.83
O=C(C=C)CCC	1629-60-3	-0.83
c1c(C(=O)O)c[nH0]cc1	59-67-6	-0.84
O=CCCCC	110-62-3	-0.85
O=C(N(C)N=O)N	684-93-5	-0.85
C=COCC	109-92-2	-0.85
c1c(C)cc(cc1)N	108-44-1	-0.85
CCC(CC)(CC)O	597-49-9	-0.85
OCc1ccccc1OC1C(C(C(C(CO)O1)O)O)O	138-52-3	-0.85
c1c(C=O)c(O)ccc1	90-02-8	-0.86
c1c(Cl)[nH0]c2c(c[nH0]c[nH0]2)[nH0]1	1125-84-4	-0.87
OC1CCC(C)CC1	589-91-3	-0.88
O=C(C)C(CCC)C(C)=O	1540-35-8	-0.88
BrCCl	74-97-5	-0.89
O=C(O)Cc1ccccc1	103-82-2	-0.89
O=C(C)NC(N)=O	591-07-1	-0.90
c1c(OC)[nH0]c2c(c[nH0]c[nH0]2)[nH0]1	204443-27-6	-0.91
OC(C)c1ccccc1	98-85-1	-0.92
CC(CC(C)(C)O)C	625-06-9	-0.92
CCOC(=O)CCC(=O)OCC	123-25-1	-0.96
N#CCC=CC	16529-66-1	-0.96
O=C(N)c1ccccc1	55-21-0	-0.96
c1c(O)ccc(c1)C=O	123-08-0	-0.96
O=C1c2c(N(C(=O)N1C)C)[nH0]c[nH0]2C	58-08-2	-0.97
O=C(C)Nc1ccc(cc1)N	122-80-5	-0.98
O=C1C=CC(=O)C=C1	106-51-4	-0.99
COCCCC	628-28-4	-0.99
IC	74-88-4	-1.00
CCCC(C)(CC)O	597-96-6	-1.00
[#1].[#1].[#1].CC(C1O(C=O)[#1-]1)C	542-55-2	-1.01
CC(=O)Nc1ccc(cc1)O	103-90-2	-1.03
C1c2c(cccc2)NC1	496-15-1	-1.04
O=C1C(=CNC(=O)N1)F	51-21-8	-1.07
CCCCC(C)(C)O	625-23-0	-1.08
c1c(Br)ccc(c1)O	106-41-2	-1.09
BrCC	74-96-4	-1.09
CC(OC(C)C)C	108-20-3	-1.10
c1c(OCC(=O)O)cccc1	122-59-8	-1.10
[nH0]1c(OC)[nH0]cc2c1[nH0]cc[nH0]2	102170-44-5	-1.11
[nH0]1c(OC)c2c([nH0]cc[nH0]2)[nH0]c1	30564-38-6	-1.11
c1c(CCN)ccc(c1)O	51-67-2	-1.12
O=C1CC(CC(C2CC(C)CC(C)C2=O)O)CC(N1)=O	66-81-9	-1.13
OCCCC(C)C	626-89-1	-1.14
O=C1N=C(N)C=CN1	71-30-7	-1.14
o1c2ccccc2[nH0]c1	273-53-0	-1.16
ClCC[S+]([O-])CCCl	5819-08-9	-1.16
CCC(CC)CO	97-95-0	-1.17
ClC(Cl)Cl	67-66-3	-1.17
Cc1c(O)ccc(C)c1	105-67-9	-1.19
c1c(C=O)cccc1	100-52-7	-1.19
c1c(CO)ccc(c1)C	589-18-4	-1.20
C1=CC2CC1C(C2C(=O)OC)C(=O)OC	5826-73-3	-1.20
CC(COC(=O)C=C)C	106-63-8	-1.21
CC(C)(C)NCC(c1ccc(c(c1)CO)O)O	18559-94-9	-1.22
CC(C(C(C)C)O)C	600-36-2	-1.22
c1cccc2c(CC(C(O)=O)N)c[nH]c12	73-22-3	-1.23
[O-][S+2]([O-])(NC(C)=O)c1ccc(cc1)N	144-80-9	-1.23
O=C(C)OCCCC	123-86-4	-1.24
OCCCCCC	111-27-3	-1.24
O=C1C(=O)C(NC(N1)=O)=O	50-71-5	-1.25
CCC(C)(C(C)(C)C)O	7294-05-5	-1.27
O=C(C)c1ccccc1	98-86-2	-1.28
O=C(C)c1cccc(c1)N	99-03-6	-1.28
O=C(CCC)OCC	105-54-4	-1.28
ClC(C)Cl	75-34-3	-1.29
O=C(C)Nc1ccc(cc1)OC	51-66-1	-1.30
c1c2ccc[nH0]c2ccc1	91-22-5	-1.30
O=CCCCCC	66-25-1	-1.30
ClCCBr	107-04-0	-1.32
O=C(C)Nc1ccccc1	103-84-4	-1.33
O=C(C)CCC(C)C	110-12-3	-1.33
Oc1c(CC)cccc1	90-00-6	-1.36
O=C(CCCC)OC	624-24-8	-1.36
[O-][N+](NC(=N)N)=O	556-88-7	-1.37
c1c(Cl)cc(cc1)N	108-42-9	-1.37
c1c(CCCO)cccc1	122-97-4	-1.38
CC(C)CCC(C)O	627-59-8	-1.38
O=C1NC(C(C(=O)N1)(CC)CC)=O	57-44-3	-1.39
c1c(C)cc(C)cc1O	108-68-9	-1.40
CCN(CCOC(=O)c1ccc(cc1)N)CC	59-46-1	-1.40
O=C(C)Nc1ccccc1Cl	533-17-5	-1.40
CCCC(CCC)O	589-55-9	-1.40
c1c(CCC(=O)O)cccc1	501-52-0	-1.41
O=C(C)CCCCC	110-43-0	-1.42
[nH0]1c(cccc1)c1cccc[nH0]1	366-18-7	-1.42
Cc1c(C)c(O)ccc1	526-75-0	-1.43
CCCCNCCCC	111-92-2	-1.44
s1cccc1	110-02-1	-1.45
c1c2cc[nH0]cc2ccc1	119-65-3	-1.45
c1c(C(=O)O)csc1	88-13-1	-1.47
CCCCl	540-54-5	-1.47
ClCC(Cl)Cl	79-00-5	-1.48
c1c(C=O)ccc(c1)OC	123-11-5	-1.49
ClCC[S+2]([O-])([O-])CCCl	471-03-4	-1.50
N=C(NCC(=O)O)N	352-97-6	-1.51
c1c2ccccc2[nH]c1	120-72-9	-1.52
CCCC(CO)(C)C	2370-12-9	-1.52
O=C(O)c1ccccc1N	118-92-3	-1.52
O1C2C34CCN(C)C(Cc5ccc(c1c45)OC)C3C=CC2O	76-57-3	-1.52
c1c(CN)cccc1	100-46-9	-1.53
c1c(cc[nH0]c1)c1cc[nH0]cc1	553-26-4	-1.54
Cc1c(O)cc(C)cc1	95-87-4	-1.54
CC(CCCO)(C)C	3121-79-7	-1.55
O=C(O)c1ccccc1	65-85-0	-1.55
O=C(C1CCCCN1C)Nc1c(C)cccc1C	96-88-8	-1.55
c1c(SC)[nH0]c2c(c[nH0]c[nH0]2)[nH0]1	204443-30-1	-1.55
Oc1c(Cl)cc(cc1)Cl	120-83-2	-1.55
CC(CCCCC)O	543-49-7	-1.55
CC(CC(CCCC)=O)=O	14090-87-0	-1.56
c1c(O)c(OC)cc(c1)CC=C	97-53-0	-1.56
O=C1N(C)C(C2=C(N1)NC(N2)=O)=O	708-79-2	-1.56
Clc1c(C)cc(cc1)O	59-50-7	-1.57
O=C(NC)Oc1ccccc1C1OCCO1	6988-21-2	-1.57
O=C(C)Nc1ccc(cc1)C=O	122-85-0	-1.58
COC(=O)c1ccc(cc1)N	619-45-4	-1.59
O1CC1c1ccccc1	96-09-3	-1.60
ClCC(C)Cl	78-87-5	-1.60
CC(CC(=O)CC(C)=O)C	3002-23-1	-1.60
c1ccc(C)c(c1C)N(C(C)C(=O)OC)C(COC)=O	57837-19-1	-1.60
c1c(C(F)(F)F)c(C(O)=O)ccc1	433-97-6	-1.60
CC(C)CC(C)CO	6305-71-1	-1.60
CN(C(=O)Nc1ccccc1)C	101-42-8	-1.60
[O-][S+2](N)([O-])c1ccc(cc1)NC(C)=O	121-61-9	-1.61
c1cc(ccc1CC1C(C(CN1)O)OC(C)=O)OC	22862-76-6	-1.61
O=C(NC)ON=C(C(C)(C)C)CSC	39196-18-4	-1.62
ClC(C(=O)N(CC=C)CC=C)Cl	37764-25-3	-1.62
ClCCCCl	142-28-9	-1.62
CCCOCCC	111-43-3	-1.62
c1c(C=O)cc2c(OCO2)c1	120-57-0	-1.63
c1ccccc1	71-43-2	-1.64
ClC(=C)Cl	75-35-4	-1.64
[O-][S+2]1([O-])NC(c2c1cccc2)=O	81-07-2	-1.64
CC1(C2CCC(C)(CC2)O1)C	470-82-6	-1.64
O=C1NC(=O)NC(C1(CCCC)CC)=O	77-28-1	-1.64
c1c(Cl)ccc(c1)N	106-47-8	-1.66
O=C(OCC(C)(COC(N)=O)CCC)N	57-53-4	-1.67
O=C(C)OC1CCCCC1	622-45-7	-1.67
c1c([N+](=O)[O-])cc(cc1)C(O)=O	121-92-6	-1.68
BrCCBr	106-93-4	-1.68
Clc1c(C(=O)O)c(c(cc1)Cl)OC	1918-00-9	-1.70
c1c(NCC)cccc1	103-69-5	-1.70
O=CCCCCCC	111-71-7	-1.70
BrC(C(F)(F)F)Cl	151-67-7	-1.71
O=C1NC(=O)NC(C1(C(C)C)CC=C)=O	77-02-1	-1.71
CCCCCC(C)(C)O	625-25-2	-1.72
CCCCC(C)C(C)O	31367-46-1	-1.72
OC1(C=CC(=O)C=C1)c1cc(ccc1O)O	106-34-3	-1.73
CCCBr	106-94-5	-1.73
[O-][N+](c1c(O)cccc1)=O	88-75-5	-1.74
ClC(C(Cl)Cl)Cl	79-34-5	-1.74
[O-][S+2](N)([O-])c1ccc(cc1)C	70-55-3	-1.74
O=C(CCCC)OCC	539-82-2	-1.75
[nH0]1c(SC)[nH0]cc2c1[nH0]cc[nH0]2	16878-77-6	-1.76
O=C(N)c1ccccc1O	65-45-2	-1.76
c1c(C)c(NC(CN(CC)CC)=O)c(cc1)C	137-58-6	-1.76
O=C(C=CC=CC)O	110-44-1	-1.77
S=C(N)Nc1ccccc1	103-85-5	-1.77
S=C1SCC(=O)N1	141-84-4	-1.77
c1c(O)ccc(c1)C(=O)OC	99-76-3	-1.78
c1c(C(=O)OCCC)cc(c(c1O)O)O	121-79-9	-1.78
O=C(C)Nc1ccc(cc1)F	351-83-7	-1.78
c1c([N+](=O)[O-])cccc1	98-95-3	-1.80
c1c(OC(=O)NC)cc(cc1)C	1129-41-5	-1.80
c1c(F)cccc1	462-06-6	-1.80
OCCCCCCC	111-70-6	-1.81
O=C(c1c(O)cccc1)O	69-72-7	-1.82
CCC(=O)c1ccccc1	93-55-0	-1.83
O=C(C)N=C1N(N=C(S1)[S+2]([O-])(N)[O-])C	554-57-4	-1.83
C1C23CC(=C)C1(CCC2C12C=CC(C(C)(C1C3C(O)=O)C(=O)O2)O)O	77-06-5	-1.84
CCCCOCCCC	142-96-1	-1.85
c1c(OC)cccc1	100-66-3	-1.85
CCCC(C(=O)O)CCC	99-66-1	-1.86
Oc1c2c(CCC34C=CC(CC23CCN4C)=O)ccc1OC	467-98-1	-1.87
C1CCC(C)CC1=O	591-24-2	-1.87
C12CC(CN3CCCCC23)C2CCCCN2C1	90-39-1	-1.89
CC(=O)OCCCCC	628-63-7	-1.89
C1C(C(=O)OCC)(CCN(C1)C)c1ccccc1	57-42-1	-1.89
COc1c(OC)c2c(cc1)COC2=O	569-31-3	-1.89
O=C(CCCCCCCC(=O)O)O	123-99-9	-1.89
BrC(Cl)Br	124-48-1	-1.90
BrC(Br)Br	75-25-2	-1.91
C1C2CCC(CC1OC(C(c1ccccc1)CO)=O)N2C	101-31-5	-1.91
O=C(C)Nc1ccc(cc1)OC(C)=O	2623-33-8	-1.91
O=C(CCC)OCCC	105-66-8	-1.92
OC(=O)c1c(ccc(OC)c1OC)C=O	519-05-1	-1.92
O=C(N)OCCCCCC	2114-20-7	-1.92
c1c(N(C)C)cccc1	121-69-7	-1.92
c1c(NC(=O)CC)cccc1	620-71-3	-1.92
O=C(C)OCCC(C)C	123-92-2	-1.92
OC(=O)C1=CC(NC(N1)=O)=O	65-86-1	-1.93
OC(c1ccccc1)C(c1ccccc1)O	27134-24-3	-1.93
[O-][S+2]([O-])(Nc1[nH0][nH0]c(CC)s1)c1ccc(cc1)N	94-19-9	-1.94
[nH0]1c2cc(C)ccc2ccc1C	93-37-8	-1.94
[nH0]1c(N(C)C)[nH0]c(C)c(C)c1OC(N(C)C)=O	23103-98-2	-1.95
[O-][N+](c1c(OC)cccc1)=O	91-23-6	-1.96
[nH0]1c(C=CC(=O)O)c[nH]c1	104-98-3	-1.96
CCC(C)Cl	78-86-4	-1.96
[O-][N+](c1c(N)cccc1)=O	88-74-4	-1.96
C1C=CCC=C1	628-41-1	-1.97
C1c2cc(O)ccc2CCC1	1125-78-6	-1.99
ClC(C)(Cl)Cl	71-55-6	-2.00
[O-][S+2](c1c(C)cccc1)([O-])N	88-19-7	-2.02
CCCCCl	109-69-3	-2.03
O=C(C)CCCCCC	111-13-7	-2.05
CC(Oc1c(OC(=O)NC)cccc1)C	114-26-1	-2.05
[O-][S+2]([O-])(NC(NC1CCCCC1)=O)c1ccc(cc1)C(C)=O	968-81-0	-2.06
c1c(C(=C)C(O)=O)cccc1	492-38-6	-2.06
O=C1CC(CC=C1C)C(C)=C	2244-16-8	-2.06
OC(=O)c1ccccc1C	118-90-1	-2.06
c1cccc2c1N=C1C(CCN1C2O)O	486-64-6	-2.07
O=C(O)Cc1c2c([nH]c1)cccc2	87-51-4	-2.07
CC(C)c1ccc(c(c1)O)C	499-75-2	-2.08
O=C(C)Nc1cccc(c1)C	537-92-8	-2.09
c1c([nH0]2c(OC(=O)N(C)C)cc(C)[nH0]2)cccc1	87-47-8	-2.09
CC(C)I	75-30-9	-2.09
C=CCC=C	591-93-5	-2.09
CCCCCCC(C)O	123-96-6	-2.09
c1c2c(cc(c1OC)OC)C13CCN4CC=5C(CC14)C1C3N2C(CC1OCC5)=O	357-57-3	-2.09
Clc1c(CO)c(ccc1)Cl	15258-73-8	-2.10
CCCCC(CC)CO	104-76-7	-2.11
O=C(O)c1ccccc1C(O)=O	88-99-3	-2.11
C1C2CCC(CC1OC(C(c1ccccc1)CO)=O)N2C	51-55-8	-2.12
c1c(S)cccc1	108-98-5	-2.12
[nH]1c2[nH0]c[nH0]c(N)c2[nH0]c1	73-24-5	-2.12
S=C1N(C)CN(C)CS1	533-74-4	-2.13
OC(=O)c1cccc(c1)C	99-04-7	-2.14
c1cccc2c1NC(C=C2)=O	59-31-4	-2.14
O=C(N1C(=O)NCC1)NCC(C)C	30979-48-7	-2.15
C1C=CC=CC=C1	544-25-2	-2.15
Clc1c(OCC(=O)O)cccc1	614-61-9	-2.16
c1c2cc(O)ccc2[nH0]cc1	580-16-5	-2.16
O=C1NC(=O)NC(C1(C=1CCCCC1)CC)=O	52-31-3	-2.17
O=C(N)Nc1ccc(cc1)OCC	150-69-6	-2.17
O=C1NC(=O)NC(C1(c1ccccc1)CC=C)=O	115-43-5	-2.18
[O-][S+2]([O-])(NC(NCCCC)=O)c1ccc(cc1)N	339-43-5	-2.18
ClCC(Cl)(Cl)Cl	630-20-6	-2.18
[O-][N+](=O)c1ccc(C=NO)o1	6236-05-1	-2.19
c1c(N)cccc1[N+]([O-])=O	99-09-2	-2.19
O=C1NC(=O)NC(C1(C(C)C)CC)=O	76-76-6	-2.21
c1c(C)cccc1	108-88-3	-2.21
O=C(C(O)(c1ccccc1)c1ccccc1)O	76-93-7	-2.21
c12c(O)cccc1cccc2	90-15-3	-2.22
c1c(C)cc(c(c1)C(C)C)O	89-83-8	-2.22
O=C(C(C)Oc1ccccc1Cl)O	76466-16-5	-2.22
[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O	55-63-0	-2.22
O=C1NC(=O)N(C)C(C1(CC)CC)=O	50-11-3	-2.23
Cc1c(OCC(=O)O)ccc(c1)Cl	94-74-6	-2.23
Cc1c(CCCC)c(O)[nH0]c([nH0]1)N(C)C	5221-53-4	-2.24
[nH0]1c(C)cc([nH0]c1C)N[S+2]([O-])(c1ccc(cc1)N)[O-]	515-64-0	-2.24
O=C(C)Nc1ccccc1O	614-80-2	-2.24
O=C1C=CNC(=S)N1	141-90-2	-2.26
c1c(O)cc2c(cccc2)c1	135-19-3	-2.28
O=C1C(C(=O)NC(N1)=O)[N+]([O-])=O	#28176-10-5	-2.28
CCCI	107-08-4	-2.29
O=C(CCCCCCC)O	124-07-2	-2.30
c1c(O[P+]([S-])(OCC)OCC)ccc(c1)[S+](C)[O-]	115-90-2	-2.30
c1c(F)c(F)c(cc1F)F	2367-82-0	-2.31
ClC(Cl)(Cl)Cl	56-23-5	-2.31
c1c(C(=O)OCC)cccc1	93-89-0	-2.32
C1C2CCC(C)(C2(C)C)C1O	507-70-0	-2.32
c1c(N)ccc(c1)[S+2]([O-])(Nc1cc[nH0][nH0]1c1ccccc1)[O-]	526-08-9	-2.32
CCCOC(=O)c1ccc(cc1)N	94-12-2	-2.33
c1c(NC(=O)NN)cccc1	537-47-3	-2.33
O=C(c1c(O)cccc1)OC	119-36-8	-2.34
Clc1c(O)c(cc(c1)Cl)Cl	88-06-2	-2.34
O=C1C(CC)(CCC(N1)=O)c1ccccc1	77-21-4	-2.34
CCc1c(N)c(CC)ccc1	579-66-8	-2.35
O=C(c1c(C(=O)OCC)cccc1)OCC	84-66-2	-2.35
CCOC(=O)c1ccc(cc1)O	120-47-8	-2.35
O=CCCCCCCC	124-13-0	-2.36
CCCCC#C	693-02-7	-2.36
CN(C(=O)NC1CCCCCCC1)C	2163-69-1	-2.36
[nH0]1c(SC)c2c([nH0]cc[nH0]2)[nH0]c1	6966-78-5	-2.36
[nH0]1c2C=NC(=S)Nc2[nH0]cc1	16878-76-5	-2.36
c1c(OCC)ccc(c1)NC(C)=O	62-44-2	-2.37
BrCCCC	109-65-9	-2.37
c1c(Cl)cccc1	108-90-7	-2.38
BrCC(CCl)Br	96-12-8	-2.38
N#Cc1c(C#N)cccc1	91-15-6	-2.38
[nH0]1c(O)c2c[nH0][nH]c2[nH0]c1	315-30-0	-2.38
c1c(CCl)cccc1	100-44-7	-2.39
c1c(c2c(O)cccc2)cccc1	90-43-7	-2.39
c1c(SC)cccc1	100-68-5	-2.39
CCCC(Cl)Cl	541-33-3	-2.40
COC(=O)c1ccc(cc1)OC	121-98-2	-2.41
s1c(C)[nH0][nH0]c1N[S+2]([O-])(c1ccc(cc1)N)[O-]	144-82-1	-2.41
[O-][N+](=O)c1ccc(cc1)OC	100-17-4	-2.41
c1c2[nH]cc(C)c2ccc1	83-34-1	-2.42
BrCC(C)C	78-77-3	-2.43
O=C1C=C(NC(=S)N1)C	56-04-2	-2.43
c1c(N)ccc(c1)[S+2]([O-])(Nc1[nH0]ccs1)[O-]	72-14-0	-2.43
c1c(NC(=O)C2=C(OCC[S+2]2([O-])[O-])C)cccc1	5259-88-1	-2.43
[O-][N+](=O)c1cccc(c1)C	99-08-1	-2.44
[O-][S+2]([O-])(Nc1[nH0]c(C)c(C)o1)c1ccc(cc1)N	729-99-7	-2.44
Sc1[nH0]cc(c([nH0]1)O)C	636-26-0	-2.45
Clc1cc(ccc1OC(C)C(O)=O)Cl	120-36-5	-2.45
c1c(C(=O)O)c(Cl)c(cc1Cl)N	133-90-4	-2.47
O=C1N(C(=O)C(=C(C)N1)Cl)C(C)(C)C	5902-51-2	-2.48
O=C(O)C=Cc1ccccc1	621-82-9	-2.48
c1c(N(C(=O)CCl)C(C)C)cccc1	1918-16-7	-2.48
c1c(Cl)c(OCC(O)=O)ccc1Cl	94-75-7	-2.51
C1C2C(=C(C3(C1C(C(=C(C3=O)C(N)=O)O)N(C)C)O)O)C(c1c(C2O)c(ccc1O)Cl)=O	127-33-3	-2.52
CCCC(C)C1(CC)C(NC(NC1=O)=O)=O	76-74-4	-2.52
c1c(OC)c(O)cc(c1Cl)Cl	2460-49-3	-2.53
CCC=CC	646-04-8	-2.54
Fc1ccc(CCl)cc1	352-11-4	-2.54
c1c(O)c2ccc[nH0]c2cc1	578-67-6	-2.54
[nH0]1c(OC)cc([nH0]c1C)N[S+2]([O-])(c1ccc(cc1)N)[O-]	3772-76-7	-2.54
c1cc(c(C)cc1Cl)OC(C)C(O)=O	93-65-2	-2.55
O1C(C)=C(CCC1)C(Nc1ccccc1)=O	24691-76-7	-2.56
O=C1NC(=O)NC(C1(CCC(C)C)CC)=O	57-43-2	-2.57
c1c(OC)c[nH0]c([nH0]1)N[S+2]([O-])(c1ccc(cc1)N)[O-]	651-06-9	-2.58
O=C(C)CCCCCCC	821-55-6	-2.58
C1C=CCCC1	110-83-8	-2.59
O=C(O)c1cccc(c1)Cl	535-80-8	-2.59
s1c(CC)ccc1	872-55-9	-2.59
N1C(=NCC1)CN(Cc1ccccc1)c1ccccc1	91-75-8	-2.60
ClC(C(Cl)Cl)(Cl)Cl	76-01-7	-2.60
c1cc(ccc1OC)C(C1CC1)(c1c[nH0]c[nH0]c1)O	12771-68-5	-2.60
