Expt.,SLN
-1.3785,C[1]H=C(C(=CHC(=CH@1)C(=O)C[12]=CHCH=C(S@12)S(=O)(=O)NH2)CH2N(CH3)CH2CH(CH3)CH3)OH
-1.4906,C[1]H=C(C(=CHC(=CH@1)C(=O)C[12]=CHCH=C(S@12)S(=O)(=O)NH2)CH2N(CH3)CH3)OH
-1.5471,C[1]H=CHC(=CHC(=CH@1)C(=O)C[13]=CHCH=C(S@13)S(=O)(=O)NH2)CH2NHCH2CH(CH3)CH3
-1.8828,C[1]H=CHC(=CHC(=CH@1)C(=O)C[13]=CHCH=C(S@13)S(=O)(=O)NH2)CH2N[29]CH2CH2OCH2CH2@29
-1.4569,C[1]H=CHC(=CHC(=CH@1)C(=O)C[13]=CHCH=C(S@13)S(=O)(=O)NH2)CH2NHCH2CH2CH(CH3)CH3
-4.1481,C[1]H=C(CH=CHC(=CH@1)C(=O)C[13]=CHCH=C(O@13)S(=O)(=O)NH2)OCH3
-4.2219,C[1]H=C(CH=CHC(=CH@1)S(=O)(C[13]=CHCH=C(S@13)S(=O)(=O)NH2)=O)OCH3
-3.0272,C[1]H=C(CH=CHC(=CH@1)S(=O)(C[13]=CHCH=C(S@13)S(=O)(=O)NH2)=O)OH
-4.0245,C[1]H=C(CH=CHC(=CH@1)S(=O)(C[13]=CHCH=C(S@13)S(=O)(=O)NH2)=O)CH3
-1.0607,C[1]H=C(CH=CHC(=CH@1)S(=O)(C[13]=CHCH=C(S@13)S(=O)(=O)NH2)=O)CH2N[30]CH2CH2OCH2CH2@30
-1.1196,C[1]H=C(CH=CHC(=CH@1)S(=O)(C[13]=CHCH=C(S@13)S(=O)(=O)NH2)=O)CH2NHCH2CH(CH3)CH3
-1.6449,C[1]H=C(CH=CHC(=CH@1)S(=O)(C[13]=CHCH=C(S@13)S(=O)(=O)NH2)=O)CH2NHCH2CH2CH2CH3
-2.8612,C[1]H=C(CH=CHC(=CH@1)C(=O)C[13]=CHCH=C(S@13)S(=O)(=O)NH2)OH
-0.6726,C[1]H=C(CH=CHC(=CH@1)S(=O)(C[13]=CHCH=C(S@13)S(=O)(=O)NH2)=O)CH2NHCH2C[35]=CHCH=CHCH=N@35
-2.719,C[1]H=CHC(=CHC(=CH@1)S(=O)(C[13]=CHCH=C(S@13)S(=O)(=O)NH2)=O)OH
-1.552,C[1]H=CHC(=CHC(=CH@1)S(=O)(C[13]=CHCH=C(S@13)S(=O)(=O)NH2)=O)CH2NHCH2CH(CH3)CH3
-1.2884,C[1]H=CHC(=CHC(=CH@1)S(=O)(C[13]=CHCH=C(S@13)S(=O)(=O)NH2)=O)CH2NHCH(CH2CH3)CH3
-1.9266,C[1]H=CHCH=C(C(=CH@1)S(=O)(C[13]=CHCH=C(S@13)S(=O)(=O)NH2)=O)CH2NHCH2CH(CH3)CH3
-1.5165,C[1]H=CHC(=CHC(=CH@1)S(=O)(C[13]=CHCH=C(S@13)S(=O)(=O)NH2)=O)CH2NHCH(CH3)CH3
-1.9362,C[1]H=CHC(=CHC(=CH@1)S(=O)(C[13]=CHCH=C(S@13)S(=O)(=O)NH2)=O)CH2NHC(CH3)(CH3)CH3
-1.9109,C[1]H=CHCH=C(C(=CH@1)S(=O)(C[13]=CHCH=C(S@13)S(=O)(=O)NH2)=O)CH2NHCH2C[35]=NCH=CHCH=CH@35
-2.4608,C[1]H=C(C(=CHC(=CH@1)S(=O)(C[12]=CHCH=C(S@12)S(=O)(=O)NH2)=O)OH)CH2N(CH2CH3)CH2CH3
-3.0244,C[1]H=C(CH=CHC(=CH@1)S(=O)(C[13]=CHCH=C(O@13)S(=O)(=O)NH2)=O)OCH3
-2.4027,C[1]H=C(CH=CHC(=CH@1)S(=O)(C[13]=CHCH=C(O@13)S(=O)(=O)NH2)=O)OH
-4.4492,C[1]H=C(CH=CHC(=CH@1)C(=O)C[13]=CHCH=C(S@13)S(=O)(=O)NH2)CH3
-3.7801,C[1]H=C(CH=CHC(=CH@1)S(=O)(C[13]=CHCH=C(O@13)S(=O)(=O)NH2)=O)CH3
-2.352,C[1]H=C(CH=CHC(=CH@1)C(=O)C[13]=CHCH=C(S@13)S(=O)(=O)NH2)CH2NHCH3
-2.003,C[1]H=C(CH=CHC(=CH@1)C(=O)C[13]=CHCH=C(S@13)S(=O)(=O)NH2)CH2NHCH2CH(CH3)CH3
-3.3319,C[1]H=C(CH=CHC(=CH@1)C(=O)C[13]=CHCH=C(S@13)S(=O)(=O)NH2)CH2NHCH2C[34]=CHCH=CHCH=CH@34
-2.1669,C[1]H=C(CH=CHC(=CH@1)C(=O)C[13]=CHCH=C(S@13)S(=O)(=O)NH2)CH2NHCH2CH2CH2CH3
-1.4812,C[1]H=C(CH=CHC(=CH@1)C(=O)C[13]=CHCH=C(S@13)S(=O)(=O)NH2)CH2N[29]CH2CH2OCH2CH2@29
-1.8802,C[1]H=C(CH=CHC(=CH@1)C(=O)C[13]=CHCH=C(S@13)S(=O)(=O)NH2)CH2N[29]CH2CH2N(CH2CH2@29)CH3
-1.0324,C[1]H=C(C(=CHC(=CH@1)C(=O)C[12]=CHCH=C(S@12)S(=O)(=O)NH2)CH2N(CH2CH3)CH2CH3)OH
