# TRAINING SET INDEX";"SMILES";"NAME";"MW";"LogS(mols/L)";"REFERENCE";
22;"Oc1ccc2c(c1)CC[C@H]([C@@H](CC[C@H](O)[C@](C)(CC[C@H]21)2)2)1";"Alpha-Estradiol";272.42;-4.84;25;
23;"O=C(O)[C@H](N)C";"Alpha-alanine";89.08;0.221;24;
24;"[nH0]1c([nH0]c([nH0]c1N(C)C)N(C)C)N(C)C";"Altretamine";210.33;-3.364;26;
25;"S(C)c1[nH0]c([nH0]c([nH0]1)NC(C)C)NCC";"Ametryn";227.38;-3.04;25;
26;"O=C(Oc1ccc(N(C)C)c(C)c1)NC";"Aminocarb";208.29;-2.36;25;
27;"N(=CN(C)C=Nc1ccc(C)cc1C)c1ccc(C)cc1C";"Amitraz";293.45;-5.47;25;
28;"Nc1[nH0][nH]c[nH0]1";"Amitrole";84.1;0.522;26;
29;"OC[C@@H](O[C@H](OC[C@@H](O[C@H](O[C@@H](C#N)c1ccccc1)[C@@H](O)[C@@H](O)[C@H](O)1)1)[C@@H](O)[C@@H](O)[C@H](O)1)1";"Amygdalin";457.48;-0.77;25;
30;"O[C@@](c1c[nH0]c[nH0]c1)(c1ccc(OC)cc1)C1CC1";"Ancymidol";256.33;-2.6;25;
31;"O=C1C=C2CC[C@H]([C@@H](CCC(=O)[C@](C)(CC[C@@H]3([C@](C)(CC1)2))1)1)3";"Androstenedione";286.45;-3.69;25;
32;"O=C1CC[C@H]([C@@H](CC[C@H](C[C@H](O)CC[C@](C)2([C@H](CC[C@@](C)11)3))2)3)1";"Androsterone";290.49;-4.4;25;
33;"Clc1ccc(N(C(=O)CS[P]([S-])(OC)OC)C(C)C)cc1";"Anilofos";367.89;-4.432;26;
34;"O=C(O[C@@H]([C@@H](O)CN[C@H](Cc1ccc(OC)cc1)1)1)C";"Anisomycin";265.34;-1.61;25;
35;"c1ccc2cc3ccccc3cc2c1";"Anthracene";178.24;-6.35;25;
36;"O=C1c2ccccc2C(=O)c2ccccc12";"Anthraquinone";208.22;-5.19;25;
37;"O=C1N(N(C)C(C)=C1)c1ccccc1";"Antipyrine";188.23;-0.56;24;
38;"O=C1N2N(c3cc(C)ccc3N=C2N(C)C)C(=O)[C@@H](CCC)1";"Apazone";300.4;-3.538;26;
39;"O=C1O[C@H](C(O)=C1O)[C@@H](O)CO";"Ascorbicacid";176.13;0.156;24;
40;"O=C(N)C[C@H](N)C(=O)O";"Asparagine";132.12;-0.685;24;
41;"O=C(Oc1ccccc1C(=O)O)C";"Aspirin";180.16;-1.648;24;
42;"[S]([O-])([O-])(NC(=O)OC)c1ccc(N)cc1";"Asulam";230.27;-1.66;25;
43;"Clc1ccc(cc1)C1CCC(CC1)C=1C(=O)c2ccccc2C(=O)C=1O";"Atovaquone";366.86;-5.931;26;
44;"Clc1[nH0]c([nH0]c([nH0]1)NC(C)C)NCC";"Atrazine";215.72;-3.85;25;
45;"O=C(O)CCCCCCCC(=O)O";"Azelaicacid";188.25;-1.89;25;
46;"N(=Nc1ccccc1)c1ccccc1";"Azobenzene";182.24;-4.45;25;
47;"Clc1cccc2SC(=O)N(CC(=O)O)c21";"Benazolin";243.68;-2.61;25;
48;"[S]1([O-])([O-])N[C@@H](Nc2cc(c([S]([O-])([O-])N)cc12)C(F)(F)F)Cc1ccccc1";"Bendroflumethiazide";421.46;-3.59;25;
#49;"FC(F)(F)c1cc([N](=O)[O-])c(N(CC)CCCC)c([N](=O)[O-])c1";"Benfluralin";335.32;-5.53;25;
50;"O=C(OC)Nc1[nH0]c2ccccc2[nH0]1C(=O)NCCCC";"Benomyl";290.36;-4.883;26;
51;"[S-][P](SCCN[S]([O-])([O-])c1ccccc1)(OC(C)C)OC(C)C";"Bensulide";397.57;-4.2;25;
52;"OC(c1ccccc1)c1ccccc1";"Benzhydrol";184.25;-2.55;25;
53;"O=C(O)C(O)(c1ccccc1)c1ccccc1";"Benzilicacid";228.26;-2.21;25;
#54;"O=[N]([O-])c1[nH0]cc[nH0]1CC(=O)NCc1ccccc1";"Benznidazole";260.28;-2.81;25;
55;"c1ccc2c(c1)Cc1c2ccc2ccccc12";"Benzo(a)fluorene";216.29;-6.68;25;
56;"c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34";"Benzo(a)pyrene";252.32;-8.19;25;
57;"c1ccc2c(c1)c1cccc3c1c2cc1ccccc13";"Benzo(b)fluoranthene";252.32;-8.23;25;
58;"[nH0]1cccc2c1ccc1ccccc12";"Benzo(f)quinoline";179.23;-3.36;25;
59;"c1ccc2c3c(ccc2c1)c1cccc2cccc3c12";"Benzo(j)fluoranthene";252.32;-8;25;
60;"O=C(OCC)c1ccc(N)cc1";"Benzocaine";165.21;-2.616;26;
61;"O=C(c1ccccc1)[C@@H](O)c1ccccc1";"Benzoin";212.26;-2.85;26;
62;"O=C(N)NCc1ccccc1";"Benzylurea";150.2;-0.95;25;
63;"ICCC(=O)O";"Beta-Iodopropionicacid";199.98;-0.43;25;
64;"F[C@]([C@H](O)C[C@](C)([C@H](C[C@@H](C)[C@@](O)(C(=O)CO)1)[C@H](CCC2=CC(=O)C=C[C@@](C)22)3)1)32";"Betamethasone";392.51;-3.77;25;
65;"F[C@]([C@H](O)C[C@](C)([C@H](C[C@@H](C)[C@](OC(=O)CCCC)(C(=O)CO)1)[C@H](CCC2=CC(=O)C=C[C@@](C)22)3)1)32";"Betamethasone-17-valerate";476.64;-4.71;25;
66;"c1ccc(cc1)CCc1ccccc1";"Bibenzyl";182.28;-4.62;25;
67;"c1ccc(cc1)c1ccccc1";"Biphenyl";154.22;-4.31;25;
68;"O[C@@H](C[C@@H](CC[C@@](C)1(C2(C)C))2)1";"Borneol";154.28;-2.32;25;
69;"BrC=1C(=O)N(C(=O)NC=1C)[C@H](C)CC";"Bromacil";261.14;-2.523;26;
70;"Brc1cc(Cl)c(O[P]([S-])(OC)OC)cc1Cl";"Bromophos";366;-6.09;25;
71;"Brc1cc(C#N)cc(Br)c1O";"Bromoxynil";276.91;-3.33;25;
72;"BrC=1C(=O)N(N=CC=1N)c1ccccc1";"Brompyrazone";266.11;-3.12;25;
73;"O=C1N2c3cc(OC)c(OC)cc3[C@@](CCN3CC4=CCO[C@H](C1)[C@@H]([C@@H](C[C@H]31)4)[C@H]22)12";"Brucine";394.51;-2.09;25;
74;"[S]([O-])([O-])(Oc1[nH0]c([nH0]c(C)c1CCCC)NCC)N(C)C";"Bupirimate";316.48;-4.16;25;
75;"O=C(Oc1cc(cc(c1)C(C)(C)C)C(C)(C)C)NC";"Butacarb";263.42;-4.24;25;
76;"O=C(OCCCC)c1ccc(N)cc1";"Butamben";193.27;-3.082;26;
77;"s1c([nH0][nH0]c1C(C)(C)C)N1C(=O)N(C)C[C@H](O)1";"Buthidazole";256.37;-1.877;26;
78;"Clc1ccc(NC(=O)N(C)[C@@H](C)C#C)cc1";"Buturon";236.72;-3.9;25;
79;"O=C1C[C@@H](CC[C@@](C)1(C1(C)C))1";"Camphor";152.26;-1.99;25;
80;"O=C(O)CCCCCCCCC";"Caprinicacid";172.3;-3.44;25;
81;"ClC(Cl)C(Cl)(Cl)SN1C(=O)[C@H](CC=CC[C@@H](C1=O)1)1";"Captafol";349.07;-5.4;25;
82;"O=C(Nc1ccccc1)Nc1ccccc1";"Carbanilide";212.27;-3.15;25;
83;"[nH]1c2ccccc2c2ccccc12";"Carbazole";167.22;-4.97;25;
84;"O=C(O[C@@H](C)C(=O)NCC)Nc1ccccc1";"Carbetamide";236.3;-1.83;25;
85;"BrC(CC)(CC)C(=O)NC(=O)N";"Carbromal";237.12;-2.68;25;
86;"[S]([O-])([O-])(NC(=O)NCCCC)c1ccc(N)cc1";"Carbutamide";271.38;-2.18;25;
87;"OCCCCCCCCCCCCCCCC";"Cetylalcohol";242.5;-7.26;25;
88;"O=C(O)CC[C@H](C)[C@@H](CC[C@H]([C@@H]([C@H](O)C[C@H](C[C@H](O)CC[C@](C)1([C@H](CC[C@](C)23)4))1)4)2)3";"Chenodeoxycholicacid";392.64;-3.64;25;
89;"Clc1[nH0]c([nH0]c([nH0]1)N(CC)CC)N(CC)CC";"Chlorazine";257.81;-4.411;26;
90;"Brc1ccc(NC(=O)N(OC)C)cc1Cl";"Chlorbromuron";293.56;-3.924;26;
91;"Clc1cccc(NC(=O)O[C@@H](C)C#C)c1";"Chlorbufam";223.67;-2.617;26;
92;"ClC1=C(Cl)[C@@](Cl)([C@H]([C@H](C[C@@H](Cl)[C@H](Cl)2)[C@](Cl)1(C1(Cl)Cl))2)1";"Chlordane";409.76;-6.86;25;
93;"Clc1[nH0]c([nH0]c(OC)c1)N(N[S]([O-])([O-])c1ccccc1C(=O)OCC)C=O";"Chlorimuron-ethyl";414.86;-4.576;26;
94;"ClCC(=O)N";"Chloroacetamide";93.52;-0.02;25;
95;"ClCC(=O)O";"Chloroaceticacid";94.5;0.93;25;
96;"Clc1ccc(cc1)C(O)(c1ccc(Cl)cc1)C(=O)OC(C)C";"Chloropropylate";339.23;-4.53;25;
97;"Clc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl";"Chlorothalonil";265.9;-5.64;25;
98;"Clc1cc2N=CN[S]([O-])([O-])c2cc1[S]([O-])([O-])N";"Chlorothiazide";295.75;-3.05;25;
99;"Clc1ccc([S]([O-])([O-])NC(=O)NCCC)cc1";"Chlorpropamide";276.77;-3.03;25;
100;"Clc1[nH0]c(O[P]([S-])(OC)OC)c(Cl)cc1Cl";"Chlorpyriphosmethyl";322.54;-4.82;25;
101;"Clc1c(Cl)c(Cl)c2[nH0]cc[nH0]c2c1Cl";"Chlorquinox";267.92;-5.43;25;
102;"Clc1ccc(cc1[S]([O-])([O-])N)[C@@](O)(NC(=O)c1ccccc11)1";"Chlorthalidone";338.79;-3.451;26;
103;"c1ccc2c(c1)ccc1c3CCc4cccc(cc12)c43";"Cholanthrene";254.34;-7.85;26;
104;"O=C(O)CC[C@H](C)[C@@H](CC[C@H]([C@@H]([C@H](O)C[C@H](C[C@H](O)CC[C@](C)1([C@H](C[C@@H](O)[C@](C)23)4))1)4)2)3";"Cholicacid";408.64;-3.37;25;
105;"S(CCNC(=NC#N)NC)Cc1[nH0]c[nH]c1C";"Cimetidine";252.39;-1.35;25;
106;"O[C@@H](c1cc[nH0]c2ccccc21)[C@H](N1CC[C@@H](C2)[C@H](C=C)C1)2";"Cinchonidine";294.43;-3.07;25;
107;"O=C(O)/C=Cc1ccccc1";"Cinnamicacid";148.17;-2.48;25;
#108;"Clc1ccccc1C1=NCC(=O)Nc2ccc([N](=O)[O-])cc21";"Clonazepam";315.73;-3.499;26;
109;"O[C@@H](C=C[C@@H]([C@H](N(C)CC[C@](c1c(ccc(OC)c1O[C@H]12)C3)22)3)2)1";"Codeine";299.4;-1.52;25;
110;"c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61";"Coronene";300.36;-9.332;26;
111;"O=C1C=C2CC[C@H]([C@@H](CC[C@H](C(=O)CO)[C@](C)(C[C@@H](O)[C@@H]3([C@](C)(CC1)2))1)1)3";"Corticosterone";346.51;-3.24;26;
112;"O=C1C=C2CC[C@H]([C@@H](CC[C@@](O)(C(=O)CO)[C@](C)(CC(=O)[C@@H]3([C@](C)(CC1)2))1)1)3";"Cortisone";360.49;-3.11;25;
113;"ClC=1C(=O)Oc2cc(O[P]([S-])(OCC)OCC)ccc2C=1C";"Coumaphos";362.79;-5.38;25;
114;"O=C1Oc2ccccc2C(O)=C1[C@@H](CCCc1ccccc11)1";"Coumatetralyl";292.35;-2.84;26;
115;"Clc1[nH0]c([nH0]c([nH0]1)NC(C)(C)C#N)NCC";"Cyanazine";240.73;-3.15;25;
116;"O=C1NC(=O)C2(CCCCCC2)C(=O)N1";"Cycloheptyl-5-spirobarbituricacid";210.26;-3.168;26;
117;"O=C1NC(=O)C2(CCCCC2)C(=O)N1";"Cyclohexyl-5-spirobarbituricacid";196.23;-3.06;26;
118;"O=C1NC(=O)C2(CCCCCCC2)C(=O)N1";"Cyclooctyl-5-spirobarbituricacid";224.29;-2.982;26;
119;"O=C1NC(=O)C2(CCCC2)C(=O)N1";"Cyclopentyl-5-spirobarbituricacid";182.2;-2.349;26;
120;"O=C1NC(=O)C2(CC2)C(=O)N1";"Cyclopropyl-5-spirobarbituricacid";154.14;-1.886;26;
121;"O=C(NC1CCCCCCC1)N(C)C";"Cycluron";198.35;-2.36;25;
122;"ClC(Cl)=C[C@H]([C@@H](C(=O)O[C@@H](C#N)c1ccc(F)c(Oc2ccccc2)c1)C1(C)C)1";"Cyfluthrin";434.31;-7.337;26;
123;"[Sn](O)(C1CCCCC1)(C1CCCCC1)C1CCCCC1";"Cyhexatin";385.23;-5.59;25;
124;"O=C1N=C(N)C=CN1";"Cytosine";111.12;-1.155;26;
125;"O=C(Nc1c(C)cccc1C)[C@@H](N(C)CCCC1)1";"D,l-Mepivacaine";246.39;-1.55;25;
126;"C=C(C)[C@@H](CC=C(C)CC1)1";"D-Limonene";136.26;-4.26;26;
127;"O[C@@H](C[C@H](O)[C@@H](O)C(O)[C@H](O)1)1";"D-Quercitol";164.18;-0.17;25;
128;"O=C1C[C@@H](CC[C@](C)1(C1(C)C))1";"D-camphor";152.24;-1.924;24;
129;"Oc1ccc(cc1)/C(/CC)=C(/CC)c1ccc(O)cc1";"DES";268.38;-4.35;25;
130;"O=C(O)CCC(=O)NN(C)C";"Daminozide";160.2;-0.2;25;
131;"O[C@](C#C)(CC[C@H]([C@@H](CCC1=Cc2o[nH0]cc2C[C@](C)1([C@H](CC[C@](C)12)3))3)1)2";"Danazol";337.5;-5.507;26;
132;"[S]([O-])([O-])(c1ccc(N)cc1)c1ccc(N)cc1";"Dapsone";248.33;-2.82;25;
133;"BrC(Br)=C[C@H]([C@@H](C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1)C1(C)C)1";"Deltamethrin";505.22;-8.402;26;
134;"O=C(O)CC[C@H](C)[C@@H](CC[C@H]([C@@H](CC[C@H](C[C@H](O)CC[C@](C)1([C@H](C[C@@H](O)[C@](C)23)4))1)4)2)3";"Deoxycholicacid";392.64;-3.95;25;
135;"O=C1C=C2CC[C@H]([C@@H](CC[C@H](C(=O)CO)[C@](C)(CC[C@@H]3([C@](C)(CC1)2))1)1)3";"Deoxycorticosterone";330.51;-3.75;25;
136;"O=C(OCC)Nc1cccc(OC(=O)Nc2ccccc2)c1";"Desmedipham";300.34;-4.632;26;
137;"Nc1ccc(cc1)Cc1ccc(N)cc1";"Di-(p-aminophenyl)methane";198.29;-2.3;25;
138;"ClC[C@@H](S[P]([S-])(OCC)OCC)N1C(=O)c2ccccc2C1=O";"Dialifos";393.88;-6.34;25;
139;"Cl/C=C(Cl)/CSC(=O)N(C(C)C)C(C)C";"Diallate";270.25;-4.286;26;
140;"[S-][P](OCC)(OCC)Oc1[nH0]c([nH0]c(C)c1)C(C)C";"Diazinon";304.39;-3.64;25;
141;"c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12";"Dibenz(a,h)anthracene";278.36;-8.66;25;
142;"O=C(NC(=O)c1ccccc1)c1ccccc1";"Dibenzamid";225.26;-2.27;25;
143;"o1c2ccccc2c2ccccc12";"Dibenzofuran";168.2;-4.6;25;
144;"s1c2ccccc2c2ccccc12";"Dibenzothiophene";184.27;-4.38;25;
145;"O=C(NCCN(CC)CC)c1cc(OCCCC)[nH0]c2ccccc21";"Dibucaine";343.52;-3.7;25;
146;"Clc1ccc(Cl)c(c1OC)C(=O)O";"Dicamba";221.04;-1.7;25;
147;"Clc1ccc(O[C@H](C)C(=O)O)c(Cl)c1";"Dichlorprop";235.07;-2.45;25;
148;"Oc1ccc(cc1)[C@@H](C=C)[C@@H](C=C)c1ccc(O)cc1";"Dienestrol";266.36;-4.95;25;
149;"ClC=1C(Cl)=C(Cl)C(Cl)(C=1Cl)C1(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl";"Dienochlor";474.6;-7.278;26;
150;"[S]([O-])([O-])(CC)CC";"Diethylsulfone";122.21;0.04;25;
151;"O=C(Nc1ccc(Oc2ccc(OC)cc2)cc1)N(C)C";"Difenoxuron";286.36;-4.16;25;
152;"ICI";"Diiodomethane";267.83;-2.34;26;
153;"O=C(OCCCCCC(C)C)c1ccccc1C(=O)OCCCCCC(C)C";"Diisooctylphthalate";390.62;-6.637;26;
154;"O=C1C=C(OC(=O)N(C)C)CC(C)(C)C1";"Dimetan";211.29;-0.85;25;
155;"O=C(OC)[C@@H]([C@H](C=C[C@H](C1)[C@@H](C(=O)OC)2)1)2";"Dimethylcarbate";210.25;-1.2;25;
#156;"FC(F)(F)c1cc([N](=O)[O-])c(N(CC)CC)c([N](=O)[O-])c1N";"Dinitramine";322.28;-5.47;25;
157;"O=C(Oc1ccccc1C1OCCO1)NC";"Dioxacarb";223.25;-1.57;25;
158;"O=C(O)C(c1ccccc1)c1ccccc1";"Diphenylaceticacid";212.26;-3.22;25;
159;"N(c1ccccc1)c1ccccc1";"Diphenylamine";169.24;-3.51;25;
160;"O=NN(c1ccccc1)c1ccccc1";"Diphenylnitrosamine";198.24;-3.75;25;
161;"Oc1ccc(cc1)C(C)(C)c1ccc(O)cc1";"Diphenylolpropane";228.31;-2.82;25;
162;"[S-][P](OCC)(OCC)N1C(=O)c2ccccc2C1=O";"Ditalimfos";299.31;-3.35;25;
163;"O=C(O)[C@@H](CO)c1ccccc1";"Dl-Tropicacid";166.19;-0.93;25;
164;"O=C(O)[C@@H](N)[C@@H](C)CC";"Dl-isoleucine";131.18;-0.783;24;
165;"O=C(O)[C@@H](N)CCCC";"Dl-norleucine";131.18;-1.062;24;
166;"O=C(O)[C@@H](N)C(C)C";"Dl-valine";117.15;-0.233;24;
167;"ClC1=C(Cl)[C@](Cl)([C@@H]([C@@H](C[C@H]([C@@H]2([C@@](Cl)1(C1(Cl)Cl)))[C@@H](O[C@H]34)4)3)2)1";"Endrin";380.9;-6.18;25;
168;"O[C@@H](c1ccccc1)[C@H](NC)C";"Ephedrine";165.26;-0.42;25;
169;"O=C1CC[C@H](c2ccc3cc(O)ccc3c2CC[C@](C)11)1";"Equilenin";266.36;-5.24;25;
170;"O=C1CC[C@H](C2=CCc3cc(O)ccc3[C@H](CC[C@@](C)11)2)1";"Equilin";268.38;-5.28;25;
171;"OC[C@H](O)[C@H](O)CO";"Erythritol";122.14;0.7;25;
172;"Oc1ccc2c(c1)CC[C@H]([C@@H](C[C@H](O)[C@H](O)[C@](C)(CC[C@H]21)2)2)1";"Estriol";288.42;-4.955;26;
#173;"FC(F)(F)c1cc([N](=O)[O-])c(N(CC)CC(=C)C)c([N](=O)[O-])c1";"Ethalfluralin";333.3;-6.124;26;
174;"Oc1ccc2c(c1)CC[C@H]([C@@H](CC[C@@](O)(C#C)[C@](C)(CC[C@H]21)2)2)1";"Ethinylestradiol";296.44;-4.3;25;
175;"Oc1[nH0]c([nH0]c(C)c1CCCC)NCC";"Ethirimol";209.33;-3.02;25;
176;"[S]([O-])([O-])(Oc1ccc2O[C@H](OCC)C(C)(C)c2c1)C";"Ethofumesate";286.38;-3.42;25;
177;"S=C1NCCN1";"Ethylenethiourea";102.18;-0.71;25;
178;"O=C(O)c1ccc(O)cc1CC";"Ethylparaben";166.18;-2.227;24;
179;"O[C@@H](CC[C@H]([C@@H](CCc1cc(OC#C)ccc1[C@H](CC[C@](C)12)3)3)1)2";"Ethynylestradiol";296.41;-4.479;24;
180;"O(Cc1cccc(Oc2ccccc2)c1)CC(C)(C)c1ccc(OCC)cc1";"Etofenprox";376.53;-8.6;26;
181;"N[C@@H](CC)Cc1c[nH]c2ccccc21";"Etryptamine";188.3;-2.57;25;
182;"Clc1ccc(cc1)[C@@](O)(c1c[nH0]c[nH0]c1)c1ccccc1Cl";"Fenarimol";331.21;-4.38;25;
183;"O=C(O)CCC(=O)c1ccc(cc1)c1ccccc1";"Fenbufen";254.3;-5.06;25;
184;"O=C(Nc1ccccc1)c1ccoc1C";"Fenfuram";201.24;-3.3;25;
185;"O=C(OCC)NCCOc1ccc(Oc2ccccc2)cc1";"Fenoxycarb";301.37;-4.7;26;
186;"O=C(O[C@@H](C#N)c1cccc(Oc2ccccc2)c1)C1C(C)(C)C1(C)C";"Fenpropathrin";349.46;-6.025;26;
187;"O=C(Nc1ccccc1)N(C)C";"Fenuron";164.23;-1.6;25;
188;"Fc1ccc(c(F)c1)C(O)(C[nH0]1[nH0]c[nH0]c1)C[nH0]1[nH0]c[nH0]c1";"Fluconazole";306.31;-1.8;26;
189;"FC(F)Oc1ccc(cc1)[C@@H](C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1)C(C)C";"Flucythrinate";451.5;-6.876;26;
190;"F[C@@H](C[C@H]([C@@H](C[C@H](C)[C@@](O)(C(=O)CO)[C@](C)(C[C@@H](O)[C@](F)1([C@](C)(C=CC(=O)C=C23)3))3)3)1)2";"Flumethasone";410.5;-5.613;26;
191;"FC(F)(F)c1cccc(NC(=O)N(C)C)c1";"Fluometuron";232.23;-3.43;25;
192;"c1ccc2c(c1)c1cccc3cccc2c13";"Fluoranthene";202.26;-6;25;
193;"c1ccc2c(c1)Cc1ccccc12";"Fluorene";166.23;-4.91;25;
194;"F[C@]([C@H](O)C[C@](C)([C@H](CC[C@@](O)(C(=O)C)1)[C@H](C[C@H](C)C2=CC(=O)C=C[C@@](C)22)3)1)32";"Fluoromethasone";376.51;-4.1;25;
195;"FC(F)(F)c1cccc(c1)C([nH0]1[nH0]c[nH0]c1)(c1ccccc1)c1ccccc1";"Fluotrimazole";379.41;-8.4;25;
196;"FC(F)(F)c1cccc(c1)C1=CN(C)C=C(c2ccccc2)C1=O";"Fluridone";329.34;-4.44;25;
197;"ClC[C@H](CN(c1cccc(c1)C(F)(F)F)C(=O)[C@@H](Cl)1)1";"Flurochloridone";312.13;-4.047;26;
198;"Fc1ccc(cc1)[C@@](O)(C[nH0]1[nH0]c[nH0]c1)c1ccccc1F";"Flutriafol";301.32;-3.37;25;
199;"Clc1cc(ccc1N[C@@H](C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1)C(C)C)C(F)(F)F";"Fluvalinate";502.95;-8.003;26;
200;"O=C(Oc1cccc(N=CN(C)C)c1)NC";"Formetanate";221.29;-2.34;25;
201;"[S-][P](SCC(=O)N(C)C=O)(OC)OC";"Formothion";257.3;-1.995;26;
202;"O=C(O)c1cc(O)c(O)c(O)c1";"Gallicacid";170.13;-1.16;25;
203;"O=C1[C@@H](C=C(O)C=C[C@H](O[C@H](C=C(OC)C=C(O)[C@H]11)1)1)1";"Gentisin";262.28;-2.943;26;
204;"Clc1ccc2c([nH0]ccc2Nc2ccccc2C(=O)OC[C@H](O)CO)c1";"Glafenine";372.83;-4.571;26;
205;"OC[C@@H](O[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)1)1";"Glucose";180.18;0.74;25;"TRAIN"
206;"O=C(O)CCCC(=O)O";"Glutaricacid";132.13;1;25;
207;"Clc1ccc(OC)c(c1)C(=O)NCCc1ccc([S]([O-])([O-])NC(=O)NC2CCCCC2)cc1";"Glyburide";494.06;-5.09;25;
208;"s1c([nH0][nH0]c1C(C)(C)C)N[S]([O-])([O-])c1ccc(N)cc1";"Glybuthiazole";312.46;-3.74;25;
209;"O=C(O)CN";"Glycine";75.07;0.473;24;
210;"O=C(O)CNC(=O)CC[C@H](C)[C@@H](CC[C@H]([C@@H]([C@H](O)C[C@H](C[C@H](O)CC[C@](C)1([C@H](C[C@@H](O)[C@](C)23)4))1)4)2)3";"Glycocholicacid";465.7;-5.15;25;
211;"Clc1ccc(cc1)C1(O)CCN(CC1)CCCC(=O)c1ccc(F)cc1";"Haloperidol";375.9;-4.43;25;
212;"O=C1NC(=O)C(CC)(C2=CCCCCC2)C(=O)N1";"Heptabarbital";250.33;-3;25;
213;"ClC1=C(Cl)[C@@](Cl)([C@H]([C@H](C=C[C@H](Cl)2)[C@](Cl)1(C1(Cl)Cl))2)1";"Heptachlor";373.3;-6.32;25;
214;"ClC1=C(Cl)[C@@](Cl)([C@H]([C@@H](Cl)[C@@H](O[C@@H]2([C@H]3([C@](Cl)1(C1(Cl)Cl))))2)3)1";"Heptachlorepoxide";389.3;-6.29;25;
215;"O=C(OCCCCCCC)c1ccc(N)cc1";"Heptyl-4-aminobenzoate";235.36;-4.6;25;
216;"O=C1NC(=O)[C@@](C)(C(=O)N1C)C1=CCCCC1";"Hexabarital";236.3;-2.74;25;
217;"O=C(O)CNC(=O)c1ccccc1";"Hippuricacid";179.19;-1.68;25;
218;"O=C1O[C@@H](c2ccc(OC)c(OC)c21)[C@H](N(C)CCc1cc2OCOc2cc11)1";"Hydrastine";383.43;-4.11;25;
219;"N(Nc1ccccc1)c1ccccc1";"Hydrazobenzene";184.26;-2.92;25;
220;"O[C@H](c1ccccc1)[C@@H](O)c1ccccc1";"Hydrobenzoin";214.28;-1.93;25;
221;"Clc1cc2NCN[S]([O-])([O-])c2cc1[S]([O-])([O-])N";"Hydrochlorthiazide";297.77;-2.62;25;
